"sku","proizvajalcev_sku"
"494900vo699","1149005895"
"494900m1699","1149005715"
"49490035099","1149008590"
"494900vo399","1149008460"
"494900vo299","1149002340"
"494899vo699","1148995895"
"494899m1699","1148995715"
"49489935099","1148998590"
"494899vo399","1148998460"
"494899vo299","1148992340"
"494896vo699","1148965895"
"494896m1699","1148965715"
"49489635099","1148968590"
"494896vo399","1148968460"
"494896vo299","1148962340"
"494894vo699","1148945895"
"494894m1699","1148945715"
"49489435099","1148948590"
"494894vo399","1148948460"
"494894vo299","1148942340"
"496067zzz99","1160673900"
"497049zzz99","1170493900"
"496066zzz99","1160663900"
"496065zzz99","1160653900"
"496064zzz99","1160643900"
"496063zzz99","1160633900"
"496062zzz99","1160623900"
"49809802099","1180987700"
"498098vo599","1180987470"
"49809867099","1180987410"
"498098vs199","1180987320"
"498098vs399","1180986100"
"49809809699","1180985705"
"498098vs299","1180985315"
"498098m1599","1180984930"
"498098zzz99","1180983900"
"498098i4099","1180983505"
"49809832699","1180981030"
"49809800199","1180980300"
"49808567099","1180857410"
"498085vs199","1180857320"
"498085vs399","1180856100"
"498085m1599","1180854930"
"498085zzz99","1180853900"
"498085i4099","1180853505"
"49808532699","1180851030"
"49808500199","1180850300"
"49808467099","1180847410"
"498084vs199","1180847320"
"498084m1599","1180844930"
"498084zzz99","1180843900"
"498084i4099","1180843505"
"49808432699","1180841030"
"49808400199","1180840300"
"49809602099","1180967700"
"498096vo599","1180967470"
"49809667099","1180967410"
"498096vs199","1180967320"
"498096vs399","1180966100"
"49809609699","1180965705"
"498096vs299","1180965315"
"498096m1599","1180964930"
"498096zzz99","1180963900"
"498096i4099","1180963505"
"49809632699","1180961030"
"49809600199","1180960300"
"498098vo999","1180985515"
"498098m1799","1180987520"
"498098vo199","1180985730"
"498098vo899","1180981710"
"498085vo999","1180855515"
"498085m1799","1180857520"
"498085vo199","1180855730"
"498085vo899","1180851710"
"498096vo999","1180965515"
"498096m1799","1180967520"
"498096vo199","1180965730"
"498096vo899","1180961710"
"498085vs299","1180855315"
"49808509699","1180855705"
"49808502099","1180857700"
"498085vo599","1180857470"
"498084vs299","1180845315"
"49808409699","1180845705"
"49808402099","1180847700"
"498084vs399","1180846100"
"498084vo599","1180847470"
"498084vo999","1180845515"
"498084m1799","1180847520"
"498084vo199","1180845730"
"498084vo899","1180841710"
"494894m1599","1148944930"
"494898vo699","1148985895"
"494898m1699","1148985715"
"49489835099","1148988590"
"494898vo399","1148988460"
"494898vo299","1148982340"
"49490032699","1149001030"
"494900j5899","1149003705"
"49489932699","1148991030"
"494899j5899","1148993705"
"49489632699","1148961030"
"494896j5899","1148963705"
"49606667099","1160667410"
