"koda_barve","ime_barve","sortirni_red_barve"
"1","white",1
"2","black",13
"3","navy",516
"4","red",384
"5","abyss blue",559
"7","all black",14
"12","all navy",528
"16","apple",241
"17","navy/burgundy/khaki",1124
"18","dark mustard",1125
"19","aqua blue/black",1426
"20","anthracite",35
"21","anthracite melange",31
"22","aqua",282
"23","blue",585
"24","camel",130
"25","carbon",68
"26","chalk",116
"27","cool grey",111
"28","dark green",203
"29","fluorescent orange",355
"30","fluorescent yellow",311
"31","gold yellow",329
"32","grass",248
"33","green",217
"34","grey heather",45
"35","irish green",238
"37","light blue",115
"38","light green",245
"39","light grey",100
"40","light pink",464
"41","light yellow",293
"42","lime green",251
"43","mid grey",93
"44","neon orange",337
"45","neon yellow",345
"46","night blue",525
"47","off white",6
"48","pink",397
"49","rose",448
"50","royal",546
"51","signal red",380
"52","stone",81
"53","terra",366
"54","wine",165
"55","scarlet red",390
"56","navy blue",517
"57","bright royal",560
"58","blue midnight",523
"59","black opal",17
"61","arctic/black",993
"62","arctic/graphite/black",992
"63","army/black",1039
"64","baby blue",649
"65","biscuit",135
"66","bordeaux",490
"68","chrome",653
"69","colored",0
"70","dark brown",151
"71","dark grey melange",39
"72","dark khaki",193
"73","dark navy",515
"74","forest green",201
"75","graphite",58
"76","grey",45
"77","grey melange",40
"79","jade",227
"80","kiwi",229
"81","light khaki",194
"82","maroon",158
"83","mauve",476
"84","mocca",160
"85","mustard",1500
"86","neon green",263
"87","neon pink",377
"88","poppy red",385
"89","silver grey",95
"90","steel blue",557
"91","sunny lime",334
"92","violet",478
"93","apple green",273
"94","aqua blue",606
"95","aubergine",513
"96","avocado",0
"100","natural",128
"101","candy pink",450
"103","citrus",0
"105","cobalt blue",573
"106","daffodil yellow",0
"107","dark orange",364
"108","dark red",361
"111","denim blue",575
"112","praline rose",0
"113","honey",132
"114","indigo blue",552
"118","lavender",475
"120","sand",122
"122","lime",262
"123","mandarin",348
"125","beige",121
"127","melange grey",65
"130","cream",114
"134","orange peel",0
"135","pale pink",469
"136","papaya",0
"138","river blue",0
"140","chocolate",150
"145","brown",149
"146","slate grey",52
"147","soft green",0
"150","bear brown",155
"151","strawberry",0
"152","sunflower yellow",0
"153","tomato",391
"157","zinc",41
"158","army/orange",1038
"159","atoll blue",659
"161","aztec blue",579
"162","azure blue",591
"164","banana",295
"165","beige/brown",995
"167","birch",112
"168","black cord",15
"169","black melange",14
"170","black/brown",0
"171","black/cardinal red",783
"175","black/french navy",792
"176","black/graphite",797
"177","black/green",798
"179","black/greystone",805
"182","black/iron/white",806
"184","black/light grey/red",809
"185","black/light grey/white",810
"186","black/medium grey",813
"187","black/natural",815
"188","black/orange/white",826
"192","black/slate grey",839
"197","black/yellow",858
"198","black/zinc",862
"200","yellow",288
"202","bottle",204
"203","bottle/black",1051
"207","bright green/white",1089
"208","bright pink",465
"209","bright red",385
"210","gold",316
"212","bright sky",651
"213","bright yellow",304
"214","bronze",139
"215","bronze/army",1000
"220","apricot",341
"221","burgundy/natural",1295
"222","burgundy/navy",1305
"223","burnt orange",351
"225","burnt orange/light grey",1214
"226","cactus",228
"227","cappuccino",156
"229","cardinal red",405
"230","pumpkin orange",358
"231","caribbean blue",647
"232","carmine red",416
"235","orange",347
"236","sunset orange",370
"237","chalk white",119
"238","charcoal grey",37
"239","charcoal/black",870
"240","charcoal/pampas/pale grey",871
"247","classic pink",459
"248","classic red",403
"251","coffee/black",171
"253","convoy grey",46
"254","cool blue",628
"255","coral",368
"256","corde",127
"260","dark chocolate",163
"261","dark grey/black",890
"262","dark grey/grey",880
"263","dark grey/orange",894
"266","deep grey melange",66
"268","earth",166
"269","earth cord",153
"270","ecru",120
"273","ecru/navy/ecru",988
"274","ecru/red",987
"277","emerald",213
"285","flamenco red",394
"286","flash pink",451
"287","forest",211
"288","forest green/light grey/white",1069
"290","french navy",521
"291","french navy/black",1334
"292","french navy/ice blue",1335
"295","fuchsia/white",1268
"296","gold/black",1179
"298","gold/graphite/black",1176
"300","soft pink",471
"301","gold/white",1175
"302","romantic pink",467
"303","golf green",208
"304","golf green/white",1062
"305","grape",507
"306","graphite/black",912
"310","fuchsia",432
"311","sorbet",431
"312","grey mist",87
"313","grey/black",867
"317","grey/red",875
"318","grey/white",953
"320","pink lipstick",428
"323","ice/denim",1463
"325","iris blue",652
"326","ivory",123
"329","kelly green/white",1073
"332","khaki/burgundy",1022
"333","khaki/khaki",1021
"334","khaki/navy",1020
"338","lemon",289
"340","grey heather",45
"342","light brown",152
"343","light green/white",1128
"344","light grey/red",960
"345","light orange",339
"346","light oxford",96
"347","light purple",485
"348","light royal blue",604
"349","lime/black",271
"350","purple",481
"351","lime/charcoal/pale grey",1121
"352","lime/white",1129
"353","mastic",131
"354","med blue",0
"355","medium pink",468
"356","mouse grey",48
"361","navy/black",1314
"366","navy/granite",1344
"368","navy/greystone",1345
"370","burgundy",489
"371","deep red",402
"373","navy/iron/white",1346
"374","navy/khaki",1347
"376","navy/light grey/white",1377
"377","navy/medium grey",1325
"381","navy/pink",1378
"384","navy/silver",1368
"385","navy/sky",1323
"386","new mandarin orange",365
"390","orange/graphite/black",1208
"391","orange/grey",1205
"393","orange/light grey",1203
"394","orange/light grey/white",1202
"395","orange/navy",1216
"396","orchid pink",455
"397","orchid pink/white",1277
"398","oxford grey",34
"401","ice blue",610
"403","pale yellow",285
"404","parma",473
"405","peach",345
"410","sky blue",639
"413","pink/white",1276
"415","corporate blue",620
"416","port",425
"417","pure gold",336
"418","racing red",400
"420","oxford blue",642
"428","red/granite",1260
"429","red/graphite",1239
"430","azure",583
"431","red/graphite/black",1242
"432","red/grey",1233
"433","red/greystone",1259
"435","light aqua",0
"436","red/light grey/white",1232
"437","red/medium grey",1241
"440","turquoise",655
"441","atoll",624
"442","swimming pool",662
"443","red/navy/red",1238
"445","diva blue",672
"447","royal blue/black",1402
"448","royal blue/graphite",1408
"450","royal blue",556
"451","royal blue/yellow",1405
"454","royal/navy/pale grey",1383
"455","rusty",164
"456","saffron",340
"460","stone blue",603
"461","seal brown/dune/whi",1002
"462","seal brown/white",1001
"464","sky",641
"465","sky blue/black",1450
"467","sky blue/white",1451
"468","sky/black",1458
"469","sky/light grey/white",1465
"470","denim",568
"471","sky/white",1466
"472","slate grey/black",928
"473","slate grey/light grey/black",929
"476","sport yellow/black",1162
"479","stadium red/black",1262
"480","light navy",538
"481","stadium red/black/w",1261
"482","steel grey/black",935
"483","stone/brown",1462
"484","storm grey",0
