"koda_proizvajalca","ime_barve","cmyk","rgb"
"01","acid lime","31-0-90-0","C5D42E"
"01","amalfi blue","47-22-22-11","89A4AF"
"01","amalfi coral","0-60-62-0","F0815D"
"01","amalfi green","53-18-50-17","77997E"
"01","amalfi grey","30-26-33-17","A7A297"
"01","amalfi teal","73-43-46-57","2E474A"
"01","amalfi yellow","5-4-37-1","F5EBB4"
"01","anthracite","26-17-17-85","393B3B"
"01","apple green","73-4-88-0","45A94C"
"01","apricot","0-40-100-0","F7A600"
"01","aqua green","27-7-23-4","C1D3C7"
"01","army","66-55-80-20","626041"
"01","ash","0-0-0-15","E3E3E3"
"01","asphalt","63-57-50-58","433F42"
"01","atoll","100-0-10-10","0093C5"
"01","azure","70-30-0-0","4A96D2"
"01","bear brown","10-30-31-81","4D3F38"
"01","beige","5-10-15-10","E2D7CC"
"01","black","0-0-0-100","000000"
"01","black smoke","85-80-80-30","3C3834"
"01","blue chip","88-62-0-4","295CA5"
"01","blue clash","80-42-5-25","27689A"
"01","blue fog","37-19-17-6","A6B7C2"
"01","blush blue","24-7-6-0","CBDEEB"
"01","blush mint","21-2-20-0","D3E5D6"
"01","blush pink","4-24-19-0","F3CFC7"
"01","bottle green","79-0-100-75","004411"
"01","brown","52-92-100-65","481A08"
"01","burgundy","75-100-70-10","5F2A41"
"01","business blue","40-17-0-0","A4C2E7"
"01","camo green","54-43-58-41","5F5F4F"
"01","candy pink","13-31-5-0","E0BED5"
"01","charcoal","0-0-0-75","646363"
"01","chic anthracite","61-53-45-46","49484C"
"01","chic black","29-29-0-72","504E5C"
"01","chic denim","89-65-33-20","2C4D71"
"01","chic green","52-35-85-0","919346"
"01","chic navy","100-95-72-17","2A2F3F"
"01","chic olive","71-60-79-22","575740"
"01","chic pure white","4-2-3-0","F6F6F5"
"01","chic red","18-100-93-5","C11821"
"01","chic violet","45-48-21-30","7C6D83"
"01","chic white","0-0-0-0","FFFFFF"
"01","chili gold","0-30-100-0","FBBA00"
"01","chocolate","0-41-58-62","7D593B"
"01","cobalt blue","94-61-12-1","005C9B"
"01","coffee bean","60-92-92-78","301105"
"01","dark blue smoke","85-65-30-25","354B6F"
"01","dark cherry","41-86-48-58","5C2333"
"01","dark forest","87-50-71-72","062B22"
"01","dark grey","65-57-47-46","4B4A50"
"01","dark heather blue","80-75-35-63","2B273D"
"01","dark heather moss","55-40-82-52","54552C"
"01","dark heather red","39-99-78-66","511013"
"01","deep blue denim","90-80-30-63","1F213D"
"01","deep indigo","86-73-20-36","313A66"
"01","deep red","20-100-85-0","C61A2C"
"01","delete 1","100-42-0-38","005287"
"01","delete 2","5-3-6-0","F5F5F2"
"01","deluxe blue","83-56-5-8","3463A2"
"01","deluxe grey","45-37-38-29","7D7B79"
"01","deluxe purple","49-59-10-8","8E6F9E"
"01","deluxe red","6-82-55-9","D14753"
"01","denim","70-50-25-0","5F789D"
"01","desert","18-26-41-7","CEB596"
"01","diva blue","100-0-24-38","007188"
"01","electric blue","100-87-0-30","17286E"
"01","elephant grey","40-40-36-32","827679"
"01","fire red","0-99-97-0","E30411"
"01","forest green","79-0-90-91","002806"
"01","fuchsia","10-100-50-0","D60B52"
"01","glossy black","0-0-0-100","000000"
"01","gold","0-25-80-0","FDC543"
"01","green clash","80-28-30-40","156575"
"01","green moss","52-35-85-0","919346"
"01","grey","36-27-25-0","B1B2B7"
"01","grey clash","41-34-40-38","78756E"
"01","grey fog","18-15-26-1","D8D2C0"
"01","hawaiian blue","98-8-18-0","0097C3"
"01","heather asphalt","65-53-51-59","3E4041"
"01","heather blue","47-30-15-9","8C9CB5"
"01","heather burgundy","46-81-54-70","451C23"
"01","heather dark green","65-36-52-45","415D56"
"01","heather dark grey","62-55-43-60","39373C"
"01","heather forest","100-0-57-85","002B23"
"01","heather grey","0-0-0-40","B2B2B2"
"01","heather grey fog","20-16-25-1","D3CEC0"
"01","heather light grey","38-28-27-16","989B9E"
"01","heather mid grey","43-33-33-30","7F8080"
"01","heather navy","71-56-32-50","3C4257"
"01","heather purple","49-66-27-34","714D69"
"01","heather red","1-97-70-2","E11A3B"
"01","heather royal blue","90-55-0-13","425A97"
"01","heather tarmac","69-56-49-66","303337"
"01","ice blue","11-3-0-0","E8F1FB"
"01","indigo","92-88-20-10","3A3574"
"01","ivy green","80-26-75-57","155034"
"01","jazzberry clash","0-88-40-17","CA3458"
"01","kelly green","100-0-90-0","00964F"
"01","khaki","65-55-80-43","4F4D32"
"01","lake blue","77-38-2-0","3285C5"
"01","lavender","18-20-5-1","D5CDDF"
"01","light aqua","18-0-10-0","D8EDEB"
"01","light blue","42-12-0-0","9EC7EC"
