"sku","tip_barve"
"494900vo699","colors"
"494900m1699","colors"
"49490035099","colors"
"494900vo399","colors"
"494900vo299","colors"
"494899vo699","colors"
"494899m1699","colors"
"49489935099","colors"
"494899vo399","colors"
"494899vo299","colors"
"494896vo699","colors"
"494896m1699","colors"
"49489635099","colors"
"494896vo399","colors"
"494896vo299","colors"
"494894vo699","colors"
"494894m1699","colors"
"49489435099","colors"
"494894vo399","colors"
"494894vo299","colors"
"496067zzz99","colors"
"497049zzz99","colors"
"496066zzz99","colors"
"496065zzz99","colors"
"496064zzz99","colors"
"496063zzz99","colors"
"496062zzz99","colors"
"49809802099","colors"
"498098vo599","colors"
"49809867099","colors"
"498098vs199","colors"
"498098vs399","colors"
"49809809699","colors"
"498098vs299","colors"
"498098m1599","colors"
"498098zzz99","colors"
"498098i4099","colors"
"49809832699","colors"
"49809800199","white"
"49808567099","colors"
"498085vs199","colors"
"498085vs399","colors"
"498085m1599","colors"
"498085zzz99","colors"
"498085i4099","colors"
"49808532699","colors"
"49808500199","white"
"49808467099","colors"
"498084vs199","colors"
"498084m1599","colors"
"498084zzz99","colors"
"498084i4099","colors"
"49808432699","colors"
"49808400199","white"
"49809602099","colors"
"498096vo599","colors"
"49809667099","colors"
"498096vs199","colors"
"498096vs399","colors"
"49809609699","colors"
"498096vs299","colors"
"498096m1599","colors"
"498096zzz99","colors"
"498096i4099","colors"
"49809632699","colors"
"49809600199","white"
"498098vo999","colors"
"498098m1799","colors"
"498098vo199","colors"
"498098vo899","colors"
"498085vo999","colors"
"498085m1799","colors"
"498085vo199","colors"
"498085vo899","colors"
"498096vo999","colors"
"498096m1799","colors"
"498096vo199","colors"
"498096vo899","colors"
"498085vs299","colors"
"49808509699","colors"
"49808502099","colors"
"498085vo599","colors"
"498084vs299","colors"
"49808409699","colors"
"49808402099","colors"
"498084vs399","colors"
"498084vo599","colors"
"498084vo999","colors"
"498084m1799","colors"
"498084vo199","colors"
"498084vo899","colors"
"494894m1599","colors"
"494898vo699","colors"
"494898m1699","colors"
"49489835099","colors"
"494898vo399","colors"
"494898vo299","colors"
"49490032699","colors"
"494900j5899","colors"
"49489932699","colors"
"494899j5899","colors"
"49489632699","colors"
"494896j5899","colors"
"49606667099","colors"
"49606602099","colors"
"496066m1599","colors"
"496066vo499","colors"
"49606600199","white"
"49606567099","colors"
"49606502099","colors"
"496065m1599","colors"
"496065vo499","colors"
"49606500199","white"
"49606467099","colors"
"49606402099","colors"
"496064m1599","colors"
"496064vo499","colors"
"49606400199","white"
"49606367099","colors"
"49606302099","colors"
"496063m1599","colors"
"496063vo499","colors"
"49606300199","white"
"49606267099","colors"
"49606202099","colors"
"494951n7299","colors"
"496062m1599","colors"
"496062vo499","colors"
"49606200199","white"
"49606767099","colors"
"49606702099","colors"
"496067m1599","colors"
"496067vo499","colors"
"49606700199","colors"
"494951m1599","colors"
"494900m1599","colors"
"494899m1599","colors"
"494898m1599","colors"
"494896m1599","colors"
"494900o6199","colors"
"494899o6199","colors"
"494898o6199","colors"
"494896o6199","colors"
"494894o6199","colors"
"49704902099","colors"
"494898j5899","colors"
"497049m1599","colors"
"49704900199","white"
"49490023599","colors"
"49489923599","colors"
"49489623599","colors"
"49489423599","colors"
"49495132699","colors"
"49489823599","colors"
"49489432699","colors"
"494894j5899","colors"
"49489430599","colors"
"49489400299","colors"
"494894i1699","colors"
"49489403999","colors"
"49489444099","colors"
"494894vo499","colors"
"494894zzz99","colors"
"494894a3999","colors"
"49489400199","white"
