"stil","cena"
"01.0002",4.9
"01.0003",7
"01.0004",5.45
"01.0006",7.5
"01.0010",4.6
"01.0014",8.1
"01.001T",6.9
"01.0020",11.3
"01.002T",6.9
"01.0035",7.8
"01.003T",8
"01.0041",7.8
"01.0042",93.8
"01.004T",8
"01.005T",10.35
"01.0062",42.7
"01.0063",42.7
"01.006T",10.35
"01.007T",14.25
"01.008T",14.25
"01.0100",7.7
"01.0102",9.4
"01.0189",55
"01.0200",9.1
"01.0201",12.85
"01.0202",16.9
"01.0275",10.7
"01.0300",5.95
"01.0301",6.85
"01.0350",9.4
"01.0409",16.05
"01.0413",21.65
"01.0414",20.25
"01.0415",24.9
"01.0422",24.7
"01.0423",28.7
"01.0430",13.75
"01.0440",13.75
"01.0455",16.05
"01.0456",20.25
"01.0460",22.45
"01.0486",13.2
"01.0520",36.3
"01.0580",36.3
"01.0600",28.1
"01.0610",33.95
"01.0620",37.25
"01.0641",28.05
"01.0642",33.3
"01.0645",36.6
"01.0646",51.85
"01.0647",33.3
"01.0680",19.45
"01.0681",26.4
"01.0682",35.6
"01.0703",38.2
"01.0704",38.35
"01.0705",34.75
"01.0717",41.8
"01.0749",84.05
"01.0752",41.8
"01.0800",16.7
"01.0801",29.45
"01.0802",23.7
"01.0822",28.5
"01.0824",51.4
"01.0872",51.5
"01.0880",64.9
"01.0902",16.7
"01.0910",44.5
"01.0925",59.65
"01.0930",45.25
"01.0935",45.25
"01.0937",81.2
"01.0938",80.25
"01.0939",54
"01.0948",62.5
"01.0949",44.5
"01.0950",16.7
"01.0951",80.25
"01.0969",59.95
"01.0970",59.65
"01.0B01",13.7
"01.0C01",16.55
"01.0C10",30.6
"01.0C11",26.5
"01.0C12",30.95
"01.0C20",41.85
"01.0C40",62.2
"01.0C50",57.35
"01.0C51",68.5
"01.0I12",18.75
"01.0I13",18.75
"01.0L09",29.3
"01.0P21",37.1
"01.0P22",34.95
"01.0P23",37.1
"01.0P24",34.95
"01.0P41",30.85
"01.0P42",29.55
"01.0P43",30.85
"01.0P44",29.55
"01.0P61",29.55
"01.0P62",26.6
"01.0P63",29.55
"01.0P64",26.6
"01.0T81",37.45
"01.0T82",32.7
"01.0T83",37.45
"01.0T84",32.7
"01.1489",47
"01.1950",81.2
"01.2083",26
"01.2183",26
"01.2275",25.4
"01.2375",25.4
"01.3093",18.15
"01.3193",18.15
"01.7085",17
"01.7185",17
"01.7392",13
"01.8589",41.4
"01.8689",41.4
"01.I202",16.9
"01.I203",23.6
"01.I205",32.25
"01.ID01",12.4
"01.ID02",20.6
"01.ID03",26.7
"01.ID04",33.35
"01.ID10",12.4
"01.J873",94.7
"01.TM42",8.85
"01.TM44",9.05
"01.TM46",9.8
"01.TM55",11.85
"01.TM70",12.9
"01.TM72",10.9
"01.TW43",8.85
"01.TW45",9.05
"01.TW47",9.8
"01.TW56",11.85
"01.TW71",12.9
"01.TW73",9.15
"01.U01B",7.35
"01.U01K",27.2
"01.U01W",18.6
"01.U02K",35.9
"01.U03K",43.75
"01.U03W",25.35
"01.U31B",25.7
"01.U33B",32.55
"01.U35B",39.2
"01.U424",13
"01.U425",18.5
"01.U426",17.3
"01.U427",22.05
"01.U428",13.3
"01.UC41",95.1
"01.W01Q",27.2
"01.W02B",7.35
"01.W02Q",35.9
"01.W02W",18.6
"01.W03Q",43.75
"01.W04W",25.35
"01.W32B",25.7
"01.W34B",32.55
"01.W36B",39.2
"01.W457",14.6
"01.W461",13
"01.W462",18.5
"01.W463",17.3
"01.W464",22.05
"01.W465",13.3
"01.XF01",31.65
"01.XF02",29.55
"01.XF03",31.65
"01.XF04",29.55
"01.ZF01",3
"02.0001",9.5
"02.0002",11
"02.0003",10.4
"02.0004",14.8
"02.0010",14.8
"02.0019",7
"02.0020",17.3
"02.0021",19.9
"02.0022",26
"02.0023",18.8
"02.0024",24.7
"02.0025",18.2
"02.0026",21.5
"02.0029",26
"02.0034",22.7
"02.0035",31.8
"02.0036",37.2
"02.0040",27.7
"02.0041",41.6
"02.0042",51
"02.0043",34.3
"02.0044",34.7
"02.0045",30.2
"02.0046",50.6
"02.0047",41.4
"02.0048",33.2
"02.0049",37.2
"02.0051",41.6
"02.0052",50.3
"02.0053",51.1
"02.0054",18.8
"02.0055",20.2
"02.0056",25.2
"02.0057",35.8
"02.0058",40.7
"02.0059",43.3
"02.0070",17.3
"02.0071",15.8
"02.0135",74.4
"02.0136",57.8
"02.0137",74.4
"02.0138",57.8
"02.0180",20.9
"02.0183",26.3
"02.0193",50.6
"02.0199",30
"02.0200",6
"02.0206",4.7
"02.0207",5.6
"02.0208",12.6
"02.0209",5.3
"02.0210",6.1
"02.0211",6.2
"02.0212",7.4
"02.0213",9
"02.0214",6.8
"02.0215",8.3
"02.0302",22.6
"02.0305",15.5
"02.0306",17
"02.0312",22.6
"02.0315",15.5
"02.0316",17
"02.0322",43.4
"02.0335",22.9
"02.0336",15
"02.0342",10.9
"02.0352",42.6
"02.0354",57.5
"02.0355",57.5
"02.0356",17.6
"02.0357",9
"02.0358",9
"02.036K",27.4
"02.0372",6.2
"02.0386",15.8
"02.0387",14.8
"02.0390",16.1
"02.0391",16.1
"02.0396",16.1
"02.0397",16.1
"02.0401",27.7
"02.040K",25
"02.0411",27.7
"02.044K",31.3
"02.0451",27.6
"02.0452",27.6
"02.0453",28.1
"02.0454",28.1
"02.0460",59.8
"02.0461",59.8
"02.0462",37.7
"02.0463",42.7
"02.0479",42.2
"02.047K",31.7
"02.0480",42.2
"02.0488",20
"02.0491",46.9
"02.0492",46.9
"02.0493",12.8
"02.0494",12.8
"02.0495",14.6
"02.0496",14.6
"02.0497",19.7
"02.0498",19.7
"02.0504",4
"02.0505",107.3
"02.0506",5.5
"02.0511",18.2
"02.0512",18.2
"02.0513",24.2
"02.0514",24.2
"02.0515",23.4
"02.0516",23.4
"02.0519",18.2
"02.0520",18.2
"02.0521",21.2
"02.0522",21.2
"02.0523",20.6
"02.0524",20.6
"02.0525",22.1
"02.0526",22.1
"02.0527",41.2
"02.0528",41.2
"02.0529",35.2
"02.0531",47.4
"02.0532",47.4
"02.0533",44.4
"02.0534",44.4
"02.0568",29.3
"02.0569",29.3
"02.0570",57.5
"02.0571",57.5
"02.0574",29.3
"02.0575",26.5
"02.0576",29.3
"02.0582",60.8
"02.0583",60.8
"02.0584",73.4
"02.0585",73.4
"02.0588",65.8
"02.0589",65.8
"02.0590",51.8
"02.0591",57
"02.0594",54.1
"02.0595",54.1
"02.0596",36.5
"02.0597",36.5
"02.059K",34.6
"02.0606",45.6
"02.0607",42.1
"02.0608",41.2
"02.0609",38
"02.0615",45.6
"02.0616",45.6
"02.0617",45.6
"02.0618",45.6
"02.0619",45.6
"02.0620",41.4
"02.0621",41.4
"02.0622",41.4
