"sku","europska_stevilka_artikla"
"494900vo699","9010276972278"
"494900m1699","9010276972254"
"49490035099","9010276972230"
"494900vo399","9010276972216"
"494900vo299","9010276972193"
"494899vo699","9010276972179"
"494899m1699","9010276972155"
"49489935099","9010276972131"
"494899vo399","9010276972117"
"494899vo299","9010276972094"
"494896vo699","9010276972070"
"494896m1699","9010276972056"
"49489635099","9010276972032"
"494896vo399","9010276972018"
"494896vo299","9010276971998"
"494894vo699","9010276971875"
"494894m1699","9010276971851"
"49489435099","9010276971837"
"494894vo399","9010276971813"
"494894vo299","9010276971790"
"496067zzz99","9010276949362"
"497049zzz99","9010276948907"
"496066zzz99","9010276948860"
"496065zzz99","9010276948846"
"496064zzz99","9010276948822"
"496063zzz99","9010276948808"
"496062zzz99","9010276948785"
"49809802099","9010276928992"
"498098vo599","9010276928978"
"49809867099","9010276928954"
"498098vs199","9010276928930"
"498098vs399","9010276928916"
"49809809699","9010276928893"
"498098vs299","9010276928879"
"498098m1599","9010276928855"
"498098zzz99","9010276928831"
"498098i4099","9010276928817"
"49809832699","9010276928732"
"49809800199","9010276928718"
"49808567099","9010276928695"
"498085vs199","9010276928671"
"498085vs399","9010276928657"
"498085m1599","9010276928633"
"498085zzz99","9010276928619"
"498085i4099","9010276928596"
"49808532699","9010276928510"
"49808500199","9010276928497"
"49808467099","9010276928176"
"498084vs199","9010276928152"
"498084m1599","9010276928138"
"498084zzz99","9010276928114"
"498084i4099","9010276928091"
"49808432699","9010276928015"
"49808400199","9010276927995"
"49809602099","9010276927971"
"498096vo599","9010276927957"
"49809667099","9010276927933"
"498096vs199","9010276927919"
"498096vs399","9010276927896"
"49809609699","9010276927872"
"498096vs299","9010276927858"
"498096m1599","9010276927834"
"498096zzz99","9010276927810"
"498096i4099","9010276927797"
"49809632699","9010276927711"
"49809600199","9010276927698"
"498098vo999","9010276894570"
"498098m1799","9010276894556"
"498098vo199","9010276894532"
"498098vo899","9010276894518"
"498085vo999","9010276894495"
"498085m1799","9010276894471"
"498085vo199","9010276894457"
"498085vo899","9010276894433"
"498096vo999","9010276894334"
"498096m1799","9010276894310"
"498096vo199","9010276894297"
"498096vo899","9010276894273"
"498085vs299","9010276870338"
"49808509699","9010276870314"
"49808502099","9010276870291"
"498085vo599","9010276870277"
"498084vs299","9010276870253"
"49808409699","9010276870239"
"49808402099","9010276870215"
"498084vs399","9010276870192"
"498084vo599","9010276870178"
"498084vo999","9010276835405"
"498084m1799","9010276835382"
"498084vo199","9010276835368"
"498084vo899","9010276835344"
"494894m1599","9010276795372"
"494898vo699","9010276795365"
"494898m1699","9010276795341"
"49489835099","9010276795327"
"494898vo399","9010276795303"
"494898vo299","9010276795280"
"49490032699","9002336976371"
"494900j5899","9002336975961"
"49489932699","9002336975701"
"494899j5899","9002336975572"
"49489632699","9002336975091"
"494896j5899","9002336974674"
"49606667099","9002336948866"
"49606602099","9002336948835"
"496066m1599","9002336948699"
"496066vo499","9002336897607"
"49606600199","9002336897454"
"49606567099","9002336897430"
"49606502099","9002336897409"
"496065m1599","9002336897263"
"496065vo499","9002336897089"
"49606500199","9002336896976"
"49606467099","9002336895719"
"49606402099","9002336895689"
"496064m1599","9002336895603"
"496064vo499","9002336895412"
"49606400199","9002336894996"
"49606367099","9002336894965"
"49606302099","9002336894934"
"496063m1599","9002336894798"
"496063vo499","9002336894606"
"49606300199","9002336894460"
"49606267099","9002336894439"
"49606202099","9002336894415"
"494951n7299","9002336892503"
"496062m1599","9002336892312"
"496062vo499","9002336892145"
"49606200199","9002336838297"
"49606767099","9002336831199"
"49606702099","9002336831168"
"496067m1599","9002336831090"
"496067vo499","9002336830888"
"49606700199","9002336830802"
"494951m1599","9002336782361"
"494900m1599","9002336782330"
"494899m1599","9002336782231"
"494898m1599","9002336782200"
"494896m1599","9002336782187"
"494900o6199","9002336730829"
"494899o6199","9002336730690"
"494898o6199","9002336730621"
"494896o6199","9002336730553"
"494894o6199","9002336730485"
"49704902099","9002336612286"
"494898j5899","9002336597385"
"497049m1599","9002336552728"
"49704900199","9002336552506"
"49490023599","9002336550922"
"49489923599","9002336550816"
"49489623599","9002336550151"
"49489423599","9002336549513"
"49495132699","9002336543771"
"49489823599","9002336522530"
"49489432699","9002336485132"
"494894j5899","9002336484654"
"49489430599","9002336464922"
"49489400299","9002336464830"
"494894i1699","9002336464748"
"49489403999","9002336464687"
"49489444099","9002336464588"
"494894vo499","9002336464564"
"494894zzz99","9002336464489"
"494894a3999","9002336464380"
"49489400199","9002336464298"
"49495100199","9002336434956"
"49489630599","9002336377215"
"49489600299","9002336377178"
"494896i1699","9002336377123"
"49489603999","9002336377086"
"49489644099","9002336376911"
"494896vo499","9002336376904"
"494896zzz99","9002336376867"
"494896a3999","9002336376829"
"49489600199","9002336376812"
"49490030599","9002336374658"
"49490000299","9002336374603"
"494900i1699","9002336374511"
"49490003999","9002336374474"
"49490044099","9002336374214"
"494900vo499","9002336374207"
"494900zzz99","9002336374146"
"494900a3999","9002336374108"
"49490000199","9002336374092"
"49489930599","9002336373521"
"49489900299","9002336373484"
"494899i1699","9002336373439"
"49489903999","9002336373392"
"49489944099","9002336373163"
"494899vo499","9002336373125"
"494899zzz99","9002336372890"
"494899a3999","9002336372784"
"49489900199","9002336372722"
"49489830599","9002336371992"
"49489800299","9002336371954"
"494898i1699","9002336371909"
"49489803999","9002336371862"
"49489844099","9002336371633"
"494898vo499","9002336371596"
"494898zzz99","9002336371510"
"494898a3999","9002336371473"
"49489800199","9002336371466"
"494951y1299","9002336050361"
"494900y1299","9002336050323"
"494899y1299","9002336050316"
"494898y1299","9002336049921"
"494896y1299","9002336049877"
"494894y1299","9002336048597"
"49489832699","9002336042496"
"494900n7299","9002336031360"
"494899n7299","9002336031056"
"494898n7299","9002336031025"
"494896n7299","9002336030998"
"494894n7299","9002336030905"
"481061zy299","8720289532895"
"48106154099","8720289532888"
"481061zy199","8720289532871"
"481061zy099","8720289532864"
"481061zx999","8720289532857"
"48106102099","8720289532840"
"48106100399","8720289532833"
"48106100299","8720289532826"
"481067zy299","8720289532819"
"48106754099","8720289532802"
"481067zy199","8720289532796"
"481067zy099","8720289532789"
"481067zx999","8720289532772"
"48106702099","8720289532765"
"48106700399","8720289532758"
"48106700299","8720289532741"
"481065zy299","8720289532734"
"48106554099","8720289532727"
"481065zy199","8720289532710"
"481065zy099","8720289532703"
"481065zx999","8720289532697"
"48106502099","8720289532680"
"48106500399","8720289532673"
"48106500299","8720289532666"
"48105912599","8720289532659"
"48105900499","8720289532642"
"48102545099","8720289532598"
"48102500499","8720289532581"
"48102323599","8720289532574"
"48102223599","8720289532567"
"48102212299","8720289532550"
"48103112599","8720289532505"
"48100612599","8720289532499"
"48100312599","8720289532482"
"48100512599","8720289532475"
"48100112599","8720289532468"
"481031r4299","8720289532451"
"481006r4299","8720289532444"
"481003r4299","8720289532437"
"481005r4299","8720289532420"
"481001r4299","8720289532413"
"48101979799","8720289532260"
"481031za799","8720289532246"
