"sku","barva"
"494900vo699","poseidon"
"494900m1699","oasis green"
"49490035099","purple"
"494900vo399","lollipop"
"494900vo299","fox"
"494899vo699","poseidon"
"494899m1699","oasis green"
"49489935099","purple"
"494899vo399","lollipop"
"494899vo299","fox"
"494896vo699","poseidon"
"494896m1699","oasis green"
"49489635099","purple"
"494896vo399","lollipop"
"494896vo299","fox"
"494894vo699","poseidon"
"494894m1699","oasis green"
"49489435099","purple"
"494894vo399","lollipop"
"494894vo299","fox"
"496067zzz99","ruby"
"497049zzz99","ruby"
"496066zzz99","ruby"
"496065zzz99","ruby"
"496064zzz99","ruby"
"496063zzz99","ruby"
"496062zzz99","ruby"
"49809802099","anthracite"
"498098vo599","pepplestone"
"49809867099","dark grey"
"498098vs199","shadow"
"498098vs399","tibet"
"49809809699","avocado"
"498098vs299","skyline"
"498098m1599","marine blue"
"498098zzz99","ruby"
"498098i4099","blackberry"
"49809832699","ivory"
"49809800199","white"
"49808567099","dark grey"
"498085vs199","shadow"
"498085vs399","tibet"
"498085m1599","marine blue"
"498085zzz99","ruby"
"498085i4099","blackberry"
"49808532699","ivory"
"49808500199","white"
"49808467099","dark grey"
"498084vs199","shadow"
"498084m1599","marine blue"
"498084zzz99","ruby"
"498084i4099","blackberry"
"49808432699","ivory"
"49808400199","white"
"49809602099","anthracite"
"498096vo599","pepplestone"
"49809667099","dark grey"
"498096vs199","shadow"
"498096vs399","tibet"
"49809609699","avocado"
"498096vs299","skyline"
"498096m1599","marine blue"
"498096zzz99","ruby"
"498096i4099","blackberry"
"49809632699","ivory"
"49809600199","white"
"498098vo999","sea shimmer"
"498098m1799","sage"
"498098vo199","clover"
"498098vo899","salamander"
"498085vo999","sea shimmer"
"498085m1799","sage"
"498085vo199","clover"
"498085vo899","salamander"
"498096vo999","sea shimmer"
"498096m1799","sage"
"498096vo199","clover"
"498096vo899","salamander"
"498085vs299","skyline"
"49808509699","avocado"
"49808502099","anthracite"
"498085vo599","pepplestone"
"498084vs299","skyline"
"49808409699","avocado"
"49808402099","anthracite"
"498084vs399","tibet"
"498084vo599","pepplestone"
"498084vo999","sea shimmer"
"498084m1799","sage"
"498084vo199","clover"
"498084vo899","salamander"
"494894m1599","marine blue"
"494898vo699","poseidon"
"494898m1699","oasis green"
"49489835099","purple"
"494898vo399","lollipop"
"494898vo299","fox"
"49490032699","ivory"
"494900j5899","crimson red"
"49489932699","ivory"
"494899j5899","crimson red"
"49489632699","ivory"
"494896j5899","crimson red"
"49606667099","dark grey"
"49606602099","anthracite"
"496066m1599","marine blue"
"496066vo499","meadow green"
"49606600199","white"
"49606567099","dark grey"
"49606502099","anthracite"
"496065m1599","marine blue"
"496065vo499","meadow green"
"49606500199","white"
"49606467099","dark grey"
"49606402099","anthracite"
"496064m1599","marine blue"
"496064vo499","meadow green"
"49606400199","white"
"49606367099","dark grey"
"49606302099","anthracite"
"496063m1599","marine blue"
"496063vo499","meadow green"
"49606300199","white"
"49606267099","dark grey"
"49606202099","anthracite"
"494951n7299","cranberry"
"496062m1599","marine blue"
"496062vo499","meadow green"
"49606200199","white"
"49606767099","dark grey"
"49606702099","anthracite"
"496067m1599","marine blue"
"496067vo499","meadow green"
"49606700199","white"
"494951m1599","marine blue"
"494900m1599","marine blue"
"494899m1599","marine blue"
"494898m1599","marine blue"
"494896m1599","marine blue"
"494900o6199","lagoon"
"494899o6199","lagoon"
"494898o6199","lagoon"
"494896o6199","lagoon"
"494894o6199","lagoon"
"49704902099","anthracite"
"494898j5899","crimson red"
"497049m1599","marine blue"
"49704900199","white"
"49490023599","orange"
"49489923599","orange"
"49489623599","orange"
"49489423599","orange"
"49495132699","ivory"
"49489823599","orange"
"49489432699","ivory"
"494894j5899","crimson red"
"49489430599","grape"
"49489400299","black"
"494894i1699","flannel grey"
"49489403999","light grey"
"49489444099","turquoise"
"494894vo499","meadow green"
"494894zzz99","ruby"
"494894a3999","sunflower"
"49489400199","white"
"49495100199","white"
"49489630599","grape"
"49489600299","black"
"494896i1699","flannel grey"
"49489603999","light grey"
"49489644099","turquoise"
"494896vo499","meadow green"
"494896zzz99","ruby"
"494896a3999","sunflower"
"49489600199","white"
"49490030599","grape"
"49490000299","black"
"494900i1699","flannel grey"
"49490003999","light grey"
"49490044099","turquoise"
"494900vo499","meadow green"
"494900zzz99","ruby"
"494900a3999","sunflower"
"49490000199","white"
"49489930599","grape"
"49489900299","black"
"494899i1699","flannel grey"
"49489903999","light grey"
"49489944099","turquoise"
"494899vo499","meadow green"
"494899zzz99","ruby"
"494899a3999","sunflower"
"49489900199","white"
"49489830599","grape"
"49489800299","black"
"494898i1699","flannel grey"
"49489803999","light grey"
"49489844099","turquoise"
"494898vo499","meadow green"
"494898zzz99","ruby"
"494898a3999","sunflower"
"49489800199","white"
"494951y1299","reflex blue"
"494900y1299","reflex blue"
"494899y1299","reflex blue"
"494898y1299","reflex blue"
"494896y1299","reflex blue"
"494894y1299","reflex blue"
"49489832699","ivory"
"494900n7299","cranberry"
"494899n7299","cranberry"
"494898n7299","cranberry"
"494896n7299","cranberry"
"494894n7299","cranberry"
"481061zy299","bandera red"
"48106154099","bottle green"
"481061zy199","white snow"
"481061zy099","milky beige"
"481061zx999","sea green"
"48106102099","anthracite"
"48106100399","navy"
"48106100299","black"
"481067zy299","bandera red"
"48106754099","bottle green"
"481067zy199","white snow"
"481067zy099","milky beige"
"481067zx999","sea green"
"48106702099","anthracite"
"48106700399","navy"
"48106700299","black"
"481065zy299","bandera red"
"48106554099","bottle green"
"481065zy199","white snow"
"481065zy099","milky beige"
"481065zx999","sea green"
"48106502099","anthracite"
"48106500399","navy"
"48106500299","black"
"48105912599","beige"
"48105900499","red"
"48102545099","royal blue"
"48102500499","red"
"48102323599","orange"
"48102223599","orange"
"48102212299","lime"
"48103112599","beige"
"48100612599","beige"
"48100312599","beige"
"48100512599","beige"
"48100112599","beige"
"481031r4299","emerald green"
"481006r4299","emerald green"
"481003r4299","emerald green"
"481005r4299","emerald green"
"481001r4299","emerald green"
"48101979799","yellow/white"
"481031za799","gold yellow"
"481017e1499","olive green"
"481017w3799","azure aqua"
"481016e1499","olive green"
"481016w3799","azure aqua"
"481015e1499","olive green"
"481015w3799","azure aqua"
"48104302236","aqua"
"48104302212","aqua"
"48104302234","aqua"
"48101112236","lime"
"48101112212","lime"
"48101112234","lime"
"48102103736","light blue"
"48102103712","light blue"
"48102103734","light blue"
"481021za736","gold yellow"
"481021za712","gold yellow"
"481021za734","gold yellow"
"481011w3736","azure aqua"
"481011w3712","azure aqua"
"481011w3734","azure aqua"
"481006h2299","taupe"
"481006za799","gold yellow"
"481005h2299","taupe"
"481005za799","gold yellow"
"481003za799","gold yellow"
"48100203999","light grey"
"481002w3799","azure aqua"
"481001h2299","taupe"
"481001za799","gold yellow"
"48104823599","orange"
"48108502099","anthracite"
"48108500399","navy"
"48108500199","white"
"48104300136","white"
"48104300112","white"
"48104300134","white"
