"sku","stil"
"494900vo699","49.4900"
"494900m1699","49.4900"
"49490035099","49.4900"
"494900vo399","49.4900"
"494900vo299","49.4900"
"494899vo699","49.4899"
"494899m1699","49.4899"
"49489935099","49.4899"
"494899vo399","49.4899"
"494899vo299","49.4899"
"494896vo699","49.4896"
"494896m1699","49.4896"
"49489635099","49.4896"
"494896vo399","49.4896"
"494896vo299","49.4896"
"494894vo699","49.4894"
"494894m1699","49.4894"
"49489435099","49.4894"
"494894vo399","49.4894"
"494894vo299","49.4894"
"496067zzz99","49.6067"
"497049zzz99","49.7049"
"496066zzz99","49.6066"
"496065zzz99","49.6065"
"496064zzz99","49.6064"
"496063zzz99","49.6063"
"496062zzz99","49.6062"
"49809802099","49.8098"
"498098vo599","49.8098"
"49809867099","49.8098"
"498098vs199","49.8098"
"498098vs399","49.8098"
"49809809699","49.8098"
"498098vs299","49.8098"
"498098m1599","49.8098"
"498098zzz99","49.8098"
"498098i4099","49.8098"
"49809832699","49.8098"
"49809800199","49.8098"
"49808567099","49.8085"
"498085vs199","49.8085"
"498085vs399","49.8085"
"498085m1599","49.8085"
"498085zzz99","49.8085"
"498085i4099","49.8085"
"49808532699","49.8085"
"49808500199","49.8085"
"49808467099","49.8084"
"498084vs199","49.8084"
"498084m1599","49.8084"
"498084zzz99","49.8084"
"498084i4099","49.8084"
"49808432699","49.8084"
"49808400199","49.8084"
"49809602099","49.8096"
"498096vo599","49.8096"
"49809667099","49.8096"
"498096vs199","49.8096"
"498096vs399","49.8096"
"49809609699","49.8096"
"498096vs299","49.8096"
"498096m1599","49.8096"
"498096zzz99","49.8096"
"498096i4099","49.8096"
"49809632699","49.8096"
"49809600199","49.8096"
"498098vo999","49.8098"
"498098m1799","49.8098"
"498098vo199","49.8098"
"498098vo899","49.8098"
"498085vo999","49.8085"
"498085m1799","49.8085"
"498085vo199","49.8085"
"498085vo899","49.8085"
"498096vo999","49.8096"
"498096m1799","49.8096"
"498096vo199","49.8096"
"498096vo899","49.8096"
"498085vs299","49.8085"
"49808509699","49.8085"
"49808502099","49.8085"
"498085vo599","49.8085"
"498084vs299","49.8084"
"49808409699","49.8084"
"49808402099","49.8084"
"498084vs399","49.8084"
"498084vo599","49.8084"
"498084vo999","49.8084"
"498084m1799","49.8084"
"498084vo199","49.8084"
"498084vo899","49.8084"
"494894m1599","49.4894"
"494898vo699","49.4898"
"494898m1699","49.4898"
"49489835099","49.4898"
"494898vo399","49.4898"
"494898vo299","49.4898"
"49490032699","49.4900"
"494900j5899","49.4900"
"49489932699","49.4899"
"494899j5899","49.4899"
"49489632699","49.4896"
"494896j5899","49.4896"
"49606667099","49.6066"
"49606602099","49.6066"
"496066m1599","49.6066"
"496066vo499","49.6066"
"49606600199","49.6066"
"49606567099","49.6065"
"49606502099","49.6065"
"496065m1599","49.6065"
"496065vo499","49.6065"
"49606500199","49.6065"
"49606467099","49.6064"
"49606402099","49.6064"
"496064m1599","49.6064"
"496064vo499","49.6064"
"49606400199","49.6064"
"49606367099","49.6063"
"49606302099","49.6063"
"496063m1599","49.6063"
"496063vo499","49.6063"
"49606300199","49.6063"
"49606267099","49.6062"
"49606202099","49.6062"
"494951n7299","49.4951"
"496062m1599","49.6062"
"496062vo499","49.6062"
"49606200199","49.6062"
"49606767099","49.6067"
"49606702099","49.6067"
"496067m1599","49.6067"
"496067vo499","49.6067"
"49606700199","49.6067"
"494951m1599","49.4951"
"494900m1599","49.4900"
"494899m1599","49.4899"
"494898m1599","49.4898"
"494896m1599","49.4896"
"494900o6199","49.4900"
"494899o6199","49.4899"
"494898o6199","49.4898"
"494896o6199","49.4896"
"494894o6199","49.4894"
"49704902099","49.7049"
"494898j5899","49.4898"
"497049m1599","49.7049"
"49704900199","49.7049"
"49490023599","49.4900"
"49489923599","49.4899"
"49489623599","49.4896"
"49489423599","49.4894"
"49495132699","49.4951"
"49489823599","49.4898"
"49489432699","49.4894"
"494894j5899","49.4894"
"49489430599","49.4894"
"49489400299","49.4894"
"494894i1699","49.4894"
"49489403999","49.4894"
"49489444099","49.4894"
"494894vo499","49.4894"
"494894zzz99","49.4894"
"494894a3999","49.4894"
"49489400199","49.4894"
"49495100199","49.4951"
"49489630599","49.4896"
"49489600299","49.4896"
"494896i1699","49.4896"
"49489603999","49.4896"
"49489644099","49.4896"
"494896vo499","49.4896"
"494896zzz99","49.4896"
"494896a3999","49.4896"
"49489600199","49.4896"
"49490030599","49.4900"
"49490000299","49.4900"
"494900i1699","49.4900"
"49490003999","49.4900"
"49490044099","49.4900"
"494900vo499","49.4900"
"494900zzz99","49.4900"
"494900a3999","49.4900"
"49490000199","49.4900"
"49489930599","49.4899"
"49489900299","49.4899"
"494899i1699","49.4899"
"49489903999","49.4899"
"49489944099","49.4899"
"494899vo499","49.4899"
"494899zzz99","49.4899"
"494899a3999","49.4899"
"49489900199","49.4899"
"49489830599","49.4898"
"49489800299","49.4898"
"494898i1699","49.4898"
"49489803999","49.4898"
"49489844099","49.4898"
"494898vo499","49.4898"
"494898zzz99","49.4898"
"494898a3999","49.4898"
"49489800199","49.4898"
"494951y1299","49.4951"
"494900y1299","49.4900"
"494899y1299","49.4899"
"494898y1299","49.4898"
"494896y1299","49.4896"
"494894y1299","49.4894"
"49489832699","49.4898"
"494900n7299","49.4900"
"494899n7299","49.4899"
"494898n7299","49.4898"
"494896n7299","49.4896"
"494894n7299","49.4894"
"481061zy299","48.1061"
"48106154099","48.1061"
"481061zy199","48.1061"
"481061zy099","48.1061"
"481061zx999","48.1061"
"48106102099","48.1061"
"48106100399","48.1061"
"48106100299","48.1061"
"481067zy299","48.1067"
"48106754099","48.1067"
"481067zy199","48.1067"
"481067zy099","48.1067"
"481067zx999","48.1067"
"48106702099","48.1067"
"48106700399","48.1067"
"48106700299","48.1067"
"481065zy299","48.1065"
"48106554099","48.1065"
"481065zy199","48.1065"
"481065zy099","48.1065"
"481065zx999","48.1065"
"48106502099","48.1065"
"48106500399","48.1065"
"48106500299","48.1065"
"48105912599","48.1059"
"48105900499","48.1059"
"48102545099","48.1025"
"48102500499","48.1025"
"48102323599","48.1023"
"48102223599","48.1022"
"48102212299","48.1022"
"48103112599","48.1031"
"48100612599","48.1006"
"48100312599","48.1003"
"48100512599","48.1005"
"48100112599","48.1001"
"481031r4299","48.1031"
"481006r4299","48.1006"
"481003r4299","48.1003"
"481005r4299","48.1005"
"481001r4299","48.1001"
"48101979799","48.1019"
"481031za799","48.1031"
"481017e1499","48.1017"
"481017w3799","48.1017"
"481016e1499","48.1016"
"481016w3799","48.1016"
"481015e1499","48.1015"
"481015w3799","48.1015"
"48104302236","48.1043"
"48104302212","48.1043"
"48104302234","48.1043"
"48101112236","48.1011"
"48101112212","48.1011"
"48101112234","48.1011"
"48102103736","48.1021"
"48102103712","48.1021"
"48102103734","48.1021"
"481021za736","48.1021"
"481021za712","48.1021"
"481021za734","48.1021"
"481011w3736","48.1011"
"481011w3712","48.1011"
"481011w3734","48.1011"
"481006h2299","48.1006"
"481006za799","48.1006"
"481005h2299","48.1005"
"481005za799","48.1005"
"481003za799","48.1003"
"48100203999","48.1002"
"481002w3799","48.1002"
"481001h2299","48.1001"
"481001za799","48.1001"
"48104823599","48.1048"
"48108502099","48.1085"
"48108500399","48.1085"
"48108500199","48.1085"
"48104300136","48.1043"
"48104300112","48.1043"
"48104300134","48.1043"
"481007508i3","48.1007"
"481007508i2","48.1007"
"481007508i1","48.1007"
"48100950899","48.1009"
"48100850899","48.1008"
"481000z7799","48.1000"
"48100337099","48.1003"
"48105965099","48.1059"
"48105900399","48.1059"
"481059e1499","48.1059"
"481059zc099","48.1059"
"48105910599","48.1059"
"481059a9699","48.1059"
"48101800199","48.1018"
"48101823599","48.1018"
"48100812299","48.1008"
"481080e1499","48.1080"
"481083e1499","48.1083"
"481082e1499","48.1082"
"481081e1499","48.1081"
"48105685899","48.1056"
"48104500399","48.1045"
"48104502099","48.1045"
"48104400334","48.1044"
"48104402034","48.1044"
"48101132636","48.1011"
"48101132612","48.1011"
"48101132634","48.1011"
"481011e1436","48.1011"
"481011e1412","48.1011"
"481011e1434","48.1011"
"48102345099","48.1023"
"48102300499","48.1023"
"48102300399","48.1023"
"48102300299","48.1023"
"48102245099","48.1022"
"48100303999","48.1003"
"48100314599","48.1003"
"48100335099","48.1003"
"48100400299","48.1004"
"481016h2299","48.1016"
"481007122i1","48.1007"
"48108402036","48.1084"
"48108402034","48.1084"
"48108402012","48.1084"
"48108400336","48.1084"
"48108400334","48.1084"
"48108400312","48.1084"
"48108400136","48.1084"
"48108400134","48.1084"
"48108400112","48.1084"
"481083v4299","48.1083"
"481083h2299","48.1083"
"481083w3299","48.1083"
"48108300399","48.1083"
"48108302099","48.1083"
"48108308999","48.1083"
"48108300199","48.1083"
"481082v4299","48.1082"
"481082h2299","48.1082"
"481082w3299","48.1082"
"48108200399","48.1082"
"48108202099","48.1082"
"48108208999","48.1082"
"48108200199","48.1082"
"481081v4299","48.1081"
"481081h2299","48.1081"
"481081w3299","48.1081"
"48108100399","48.1081"
"48108102099","48.1081"
"48108108999","48.1081"
"48108100199","48.1081"
"481080v4299","48.1080"
"481080h2299","48.1080"
"481080w3299","48.1080"
"48108000399","48.1080"
"48108002099","48.1080"
"48108008999","48.1080"
"48108000199","48.1080"
"481007122i3","48.1007"
"481007122i2","48.1007"
"48100912299","48.1009"
"481021v4236","48.1021"
"481021v4234","48.1021"
"481021v4212","48.1021"
"481021h2236","48.1021"
"481021h2234","48.1021"
"481021h2212","48.1021"
"48102157436","48.1021"
"48102157434","48.1021"
"48102157412","48.1021"
"48102158036","48.1021"
"48102158034","48.1021"
"48102158012","48.1021"
"48101120036","48.1011"
"48101120034","48.1011"
"48101120012","48.1011"
"48101123536","48.1011"
"48101123534","48.1011"
"48101123512","48.1011"
"48101702899","48.1017"
"48101602899","48.1016"
"48101502899","48.1015"
"48100302899","48.1003"
"48103102899","48.1031"
"481031e1299","48.1031"
"48100402099","48.1004"
"481001e1499","48.1001"
"481001w3299","48.1001"
"48100111899","48.1001"
"481001w3799","48.1001"
"48100320099","48.1003"
"48100312299","48.1003"
"48100323599","48.1003"
"48100303799","48.1003"
"48100304099","48.1003"
"48103104099","48.1031"
"48103103399","48.1031"
"48103120099","48.1031"
"48103112299","48.1031"
"48103123599","48.1031"
"48103144099","48.1031"
"48100308999","48.1003"
"48101998099","48.1019"
"481019e0899","48.1019"
"481046w2999","48.1046"
"48104711899","48.1047"
"481047h2299","48.1047"
"481047w3299","48.1047"
"48104700199","48.1047"
"48104702099","48.1047"
"48104708999","48.1047"
"48101708999","48.1017"
"48101608999","48.1016"
"48101508999","48.1015"
"48103108999","48.1031"
"48100611899","48.1006"
"48100511899","48.1005"
"48100311899","48.1003"
"48103111899","48.1031"
"481006w3799","48.1006"
"481005w3799","48.1005"
"481003w3799","48.1003"
"481031w3799","48.1031"
"481006w3299","48.1006"
"481005w3299","48.1005"
"481003w3299","48.1003"
"481031w3299","48.1031"
"481006e1499","48.1006"
