"sku","stevilo_v_kartonu"
"494900vo699",6
"494900m1699",6
"49490035099",6
"494900vo399",6
"494900vo299",6
"494899vo699",10
"494899m1699",10
"49489935099",10
"494899vo399",10
"494899vo299",10
"494896vo699",24
"494896m1699",24
"49489635099",24
"494896vo399",24
"494896vo299",24
"494894vo699",24
"494894m1699",24
"49489435099",24
"494894vo399",24
"494894vo299",24
"496067zzz99",25
"497049zzz99",6
"496066zzz99",6
"496065zzz99",10
"496064zzz99",30
"496063zzz99",24
"496062zzz99",24
"49809802099",6
"498098vo599",6
"49809867099",6
"498098vs199",6
"498098vs399",6
"49809809699",6
"498098vs299",6
"498098m1599",6
"498098zzz99",6
"498098i4099",6
"49809832699",6
"49809800199",6
"49808567099",10
"498085vs199",10
"498085vs399",10
"498085m1599",10
"498085zzz99",10
"498085i4099",10
"49808532699",10
"49808500199",10
"49808467099",30
"498084vs199",30
"498084m1599",30
"498084zzz99",30
"498084i4099",30
"49808432699",30
"49808400199",30
"49809602099",24
"498096vo599",24
"49809667099",24
"498096vs199",24
"498096vs399",24
"49809609699",24
"498096vs299",24
"498096m1599",24
"498096zzz99",24
"498096i4099",24
"49809632699",24
"49809600199",24
"498098vo999",6
"498098m1799",6
"498098vo199",6
"498098vo899",6
"498085vo999",10
"498085m1799",10
"498085vo199",10
"498085vo899",10
"498096vo999",24
"498096m1799",24
"498096vo199",24
"498096vo899",24
"498085vs299",10
"49808509699",10
"49808502099",10
"498085vo599",10
"498084vs299",30
"49808409699",30
"49808402099",30
"498084vs399",30
"498084vo599",30
"498084vo999",30
"498084m1799",30
"498084vo199",30
"498084vo899",30
"494894m1599",24
"494898vo699",30
"494898m1699",30
"49489835099",30
"494898vo399",30
"494898vo299",30
"49490032699",6
"494900j5899",6
"49489932699",10
"494899j5899",10
"49489632699",24
"494896j5899",24
"49606667099",6
"49606602099",6
"496066m1599",6
"496066vo499",6
"49606600199",6
"49606567099",10
"49606502099",10
"496065m1599",10
"496065vo499",10
"49606500199",10
"49606467099",30
"49606402099",30
"496064m1599",30
"496064vo499",30
"49606400199",30
"49606367099",24
"49606302099",24
"496063m1599",24
"496063vo499",24
"49606300199",24
"49606267099",24
"49606202099",24
"494951n7299",6
"496062m1599",24
"496062vo499",24
"49606200199",24
"49606767099",25
"49606702099",25
"496067m1599",25
"496067vo499",25
"49606700199",25
"494951m1599",6
"494900m1599",6
"494899m1599",10
"494898m1599",30
"494896m1599",24
"494900o6199",6
"494899o6199",10
"494898o6199",30
"494896o6199",24
"494894o6199",24
"49704902099",6
"494898j5899",30
"497049m1599",6
"49704900199",6
"49490023599",6
"49489923599",10
"49489623599",24
"49489423599",24
"49495132699",6
"49489823599",30
"49489432699",24
"494894j5899",24
"49489430599",24
"49489400299",24
"494894i1699",24
"49489403999",24
"49489444099",24
"494894vo499",24
"494894zzz99",24
"494894a3999",24
"49489400199",24
"49495100199",6
"49489630599",24
"49489600299",24
"494896i1699",24
"49489603999",24
"49489644099",24
"494896vo499",24
"494896zzz99",24
"494896a3999",24
"49489600199",24
"49490030599",6
"49490000299",6
"494900i1699",6
"49490003999",6
"49490044099",6
"494900vo499",6
"494900zzz99",6
"494900a3999",6
"49490000199",6
"49489930599",10
"49489900299",10
"494899i1699",10
"49489903999",10
"49489944099",10
"494899vo499",10
"494899zzz99",10
"494899a3999",10
"49489900199",10
"49489830599",30
"49489800299",30
"494898i1699",30
"49489803999",30
"49489844099",30
"494898vo499",30
"494898zzz99",30
"494898a3999",30
"49489800199",30
"494951y1299",6
"494900y1299",6
"494899y1299",10
"494898y1299",30
"494896y1299",24
"494894y1299",24
"49489832699",30
"494900n7299",6
"494899n7299",10
"494898n7299",30
"494896n7299",24
"494894n7299",24
"481061zy299",14
"48106154099",14
"481061zy199",14
"481061zy099",14
"481061zx999",14
"48106102099",14
"48106100399",14
"48106100299",14
"481067zy299",25
"48106754099",25
"481067zy199",25
"481067zy099",25
"481067zx999",25
"48106702099",25
"48106700399",25
"48106700299",25
"481065zy299",50
"48106554099",50
"481065zy199",50
"481065zy099",50
"481065zx999",50
"48106502099",50
"48106500399",50
"48106500299",50
"48105912599",40
"48105900499",40
"48102545099",60
"48102500499",60
"48102323599",25
"48102223599",50
"48102212299",50
"48103112599",250
"48100612599",25
"48100312599",150
"48100512599",50
"48100112599",14
"481031r4299",250
"481006r4299",25
"481003r4299",150
"481005r4299",50
"481001r4299",14
"48101979799",60
"481031za799",250
"481017e1499",25
"481017w3799",25
"481016e1499",45
"481016w3799",45
"481015e1499",50
"481015w3799",50
"48104302236",10
"48104302212",10
"48104302234",10
"48101112236",10
"48101112212",10
"48101112234",10
"48102103736",10
"48102103712",10
"48102103734",10
"481021za736",10
"481021za712",10
"481021za734",10
"481011w3736",10
"481011w3712",10
"481011w3734",10
"481006h2299",25
"481006za799",25
"481005h2299",50
"481005za799",50
"481003za799",150
"48100203999",14
"481002w3799",14
"481001h2299",14
"481001za799",14
"48104823599",50
"48108502099",11
"48108500399",11
"48108500199",11
"48104300136",10
"48104300112",10
"48104300134",10
"481007508i3",20
"481007508i2",20
"481007508i1",20
"48100950899",50
"48100850899",50
"481000z7799",250
"48100337099",150
"48105965099",40
"48105900399",40
"481059e1499",40
"481059zc099",40
"48105910599",40
"481059a9699",40
"48101800199",100
"48101823599",100
"48100812299",50
"481080e1499",250
"481083e1499",25
"481082e1499",50
"481081e1499",150
"48105685899",14
"48104500399",30
"48104502099",30
"48104400334",20
"48104402034",20
"48101132636",10
"48101132612",10
"48101132634",10
"481011e1436",10
"481011e1412",10
"481011e1434",10
"48102345099",25
"48102300499",25
"48102300399",25
"48102300299",25
"48102245099",50
"48100303999",150
"48100314599",150
"48100335099",150
"48100400299",250
"481016h2299",45
"481007122i1",20
"48108402036",10
"48108402034",10
"48108402012",10
"48108400336",10
"48108400334",10
"48108400312",10
"48108400136",10
"48108400134",10
"48108400112",10
"481083v4299",25
"481083h2299",25
"481083w3299",25
"48108300399",25
"48108302099",25
"48108308999",25
"48108300199",25
"481082v4299",50
"481082h2299",50
"481082w3299",50
"48108200399",50
"48108202099",50
"48108208999",50
"48108200199",50
"481081v4299",150
"481081h2299",150
"481081w3299",150
"48108100399",150
"48108102099",150
"48108108999",150
"48108100199",150
"481080v4299",250
"481080h2299",250
"481080w3299",250
"48108000399",250
"48108002099",250
"48108008999",250
"48108000199",250
"481007122i3",20
"481007122i2",20
"48100912299",50
"481021v4236",10
"481021v4234",10
"481021v4212",10
"481021h2236",10
"481021h2234",10
"481021h2212",10
"48102157436",10
"48102157434",10
"48102157412",10
"48102158036",10
"48102158034",10
"48102158012",10
"48101120036",10
"48101120034",10
"48101120012",10
"48101123536",10
"48101123534",10
"48101123512",10
"48101702899",25
"48101602899",45
"48101502899",50
"48100302899",150
"48103102899",250
"481031e1299",250
"48100402099",250
"481001e1499",14
"481001w3299",14
"48100111899",14
"481001w3799",14
"48100320099",150
"48100312299",150
"48100323599",150
"48100303799",150
"48100304099",150
"48103104099",250
"48103103399",250
"48103120099",250
"48103112299",250
"48103123599",250
"48103144099",250
"48100308999",150
"48101998099",60
"481019e0899",60
"481046w2999",60
"48104711899",50
"481047h2299",50
"481047w3299",50
"48104700199",50
"48104702099",50
"48104708999",50
"48101708999",25
"48101608999",45
"48101508999",50
"48103108999",250
"48100611899",25
"48100511899",50
"48100311899",150
"48103111899",250
"481006w3799",25
"481005w3799",50
"481003w3799",150
"481031w3799",250
"481006w3299",25
"481005w3299",50
"481003w3299",150
"481031w3299",250
"481006e1499",25
"481005e1499",50
"481003e1499",150
"481031e1499",250
"481056w2899",14
"481056w3099",14
"48105685699",14
"481056w2999",14
"48101145036",10
"48101145034",10
"48101145012",10
"48101100436",10
"48101100434",10
"48101100412",10
"481058h3199",60
"481058y7299",60
"481058y7199",60
"481058y7399",60
"481046e0599",60
"481046w2799",60
"48104685899",60
"48104685699",60
"48104100199",20
"48104000199",50
"48103900199",150
"481057q4199",40
"48105785699",40
"48105212299",100
"48105200499",100
"48105245099",100
"48105200399",100
"481052h2299",100
"48105202099",100
"48105200299",100
"48105312299",100
"48105300499",100
"48105345099",100
"48105300399",100
"481053h2299",100
"48105302099",100
"48105300199",100
"481056h9599",14
"48105012299",250
"48105000499",250
"48105045099",250
"48105002099",250
"48105000199",250
"48105000399",250
"481050h2299",250
"48105000299",250
"48104812299",50
"48104800499",50
"48104845099",50
"48104802099",50
"48104800199",50
"48104800399",50
"481048h2299",50
"48104800299",50
"48105112299",160
"48105100499",160
"48105145099",160
"48105102099",160
"48105100199",160
"48105100399",160
"481051h2299",160
"48105100299",160
"48104332636",10
"48104332634",10
"48104332612",10
"481043v4236",10
"481043v4234",10
"481043v4212",10
"48104302036",10
"48104302034",10
"48104302012",10
"481043h2236",10
"481043h2234",10
"481043h2212",10
"48104400134",20
"48104500199",30
"48103800199",25
"48103700199",50
"48103600199",150
"48101263836",30
"48101263834",30
"48101263812",30
"481012e5836",30
"481012e5834",30
"481012e5812",30
"48103502299",20
"48103402299",50
"48101996399",60
"481035v4299",20
"481035w0599",20
"48103500199",20
"48103503999",20
"48103532699",20
"481034v4299",50
"481034w0599",50
"48103400199",50
"48101732699",25
"481026910j6",150
"481026910j5",150
"481026w06j6",150
"481026w06j5",150
"481026908j6",150
"481026908j5",150
"481026898j6",150
"481026898j5",150
"48103103999",250
"48102712299",60
"48100804099",50
"48100803799",50
"48100800199",50
"481012a6234",30
"48101281912",30
"48101281936",30
"481012a6236",30
"48101281934",30
"481012a6212",30
