"stil","ime_anglescina","opis_materiala_anglescina","opis_artikla_anglescina"
"01.0002","T-Shirt","145g/m², 100% preshrunk ringspun cotton, ash: 99% cotton, 1% viscose, sport grey: 85% cotton, 15% viscose, single jersey","Renewed and improved model E150 (article: 01.001T) available in 40 colors, tubular construction, 1x1 ribbed 2-layer collar with elastane"
"01.0003","T-Shirt long-sleeve","145g/m², 100% preshrunk ringspun cotton, ash: 99% preshrunk ringspun cotton, 1% viscose, sport grey: 85% preshrunk ringspun cotton, 15% viscose, single jersey","Tubular construction, 2-layer, 1x1 rib knit on collar with elastane, without cuffs"
"01.0004","Heavy T-Shirt","185g/m², 100% preshrunk ringspun cotton, ash: 99% cotton, 1% viscose, sport grey: 85% cotton, 15% viscose, single jersey","Renewed and improved model E190 (article: 01.003T) available in 40 colors, tubular construction, 1x1 ribbed 2-layer collar with elastane"
"01.0006","V-Neck T-Shirt","145g/m², 100% preshrunk ringspun cotton, sport grey: 85% cotton, 15% viscose, single jersey","Tubular construction, 2-layer, small V-neck, 1x1 rib knit on collar with elastane"
"01.0010","Men's T-Shirt","145g/m², 100% preshrunk ringspun cotton, single jersey","Tailored fit, 1x1 ribbed collar"
"01.0014","Ladies' Tank Top","145g/m², 100% preshrunk ringspun cotton, single jersey","Neck and armholes in 1x1 rib knit, wide straps"
"01.001T","T-Shirt","145g/m², 100% preshrunk ringspun cotton, ash: 99% cotton, 1% viscose, sport grey: 85% cotton, 15% viscose, single jersey","Relaxed fit, tubular construction, narrow 2-layer ribbed round neckline, necktape, narrow sleeves"
"01.0020","Raglan Contrast T-Shirt","185g/m², 100% preshrunk ringspun cotton, single jersey","2-layer, raglan sleeves in contrasting color, 1x1 rib knit on collar with elastane"
"01.002T","Ladies' T-Shirt","145g/m², 100% preshrunk ringspun cotton, ash: 99% cotton, 1% viscose, sport grey: 85% cotton, 15% viscose, single jersey","Feminine fit, narrow round neckline in rib knit, necktape"
"01.0035","Men's Slub T-Shirt","150g/m², 100% preshrunk ringspun cotton, single jersey slub","Round neckline with 1x1 rib knit, narrow edged round neckline, folded hem with 2 bartacks, blind stitch hem, slub yarn"
"01.003T","Heavy T-Shirt","185g/m², 100% preshrunk ringspun cotton, ash: 99% cotton, 1% viscose, sport grey: 85% cotton, 15% viscose, single jersey","Relaxed fit, tubular construction, narrow 2-layer ribbed round neckline, necktape, narrow sleeves"
"01.0041","Heavy Ladies' Medium Fit T-Shirt","185g/m², 100% preshrunk ringspun cotton, single jersey","Wide 1x1 ribbed round neckline with edge-stitching, necktape, double stitching on hem and cuffs"
"01.0042","Workwear Softshell Jacket","Outside: 96% polyester, 4% elastane, mini ripstop, middle layer: breathable, wind- and waterproof TPU membrane, inside: 100% polyester microfleece","Ergonomic fit, reinforced trimmings (black) on shoulders, elbows and back hem, adjustable hem with cords and stoppers, 5 multifunctional pockets, longer cut back, decoration access on front, back and sleeves, reflective piping (without protective function) on shoulders and lower back"
"01.004T","Heavy Ladies' T-Shirt","185g/m², 100% preshrunk ringspun cotton, ash: 99% cotton, 1% viscose, sport grey: 85% cotton, 15% viscose, single jersey","Feminine fit, narrow round neckline in rib knit, necktape"
"01.005T","T-Shirt long-sleeve","145g/m², 100% preshrunk ringspun cotton, single jersey, sport grey: 85% cotton, 15% viscose","Relaxed fit, tubular construction, narrow round neckline in rib knit, necktape, satin label"
"01.0062","Men's 2-Layer Softshell Jacket","300g/m², outside: 96% polyester, 4% elastane (softshell fabric), inside: 100% polyester microfleece","Water repellent, breathable, stand-up collar, longer hem, 2 slide-in pocktes with zip, 2 inside pockets, offset seams on the shoulder, reinforced seams, contrasting lining, decoration access on front, back and sleeves, 2-way stretch"
"01.0063","Ladies' 2-Layer Softshell Jacket","300g/m², outside: 96% polyester, 4% elastane (softshell fabric), inside: 100% polyester microfleece","Water repellent, breathable, stand-up collar, longer hem, 2 slide-in pocktes with zip, 2 inside pockets, offset seams on the shoulder, reinforced seams, contrasting lining, decoration access on front, back and sleeves, 2-way stretch"
"01.006T","Ladies' T-Shirt long-sleeve","145g/m², 100% preshrunk ringspun cotton, single jersey, sport grey: 85% cotton, 15% viscose","Feminine fit, narrow round neckline in rib knit, satin label"
"01.007T","Heavy T-Shirt long-sleeve","185g/m², 100% preshrunk ringspun cotton, single jersey, sport grey: 85% cotton, 15% viscose","Relaxed fit, tubular construction, narrow round neckline in rib knit, necktape, satin label"
"01.008T","Heavy Ladies' T-Shirt long-sleeve","185g/m², 100% preshrunk ringspun cotton, single jersey, sport grey: 85% cotton, 15% viscose","Feminine fit, narrow round neckline in rib knit, necktape, satin label"
"01.0100","Ladies' Rib T-Shirt","230g/m², 100% preshrunk ringspun cotton","Tailored fit, round neck with ribbed piping, 1x1 rib knit"
"01.0102","Ladies' Rib V-Neck T-Shirt","210g/m², 100% preshrunk ringspun cotton","Tailored fit, 1x1 ribbed knit V-neck, 1x1 rib knit"
"01.0189","Denim Duffle Bag","100% cotton-denim-twill, heavy denim","Long adjustable shoulder strap made of heavy cotton tape, second short handle for hand carry, heavy metallic zip across top in antique brass covered by a denim fabric flap, inner pocket with zip"
"01.0200","Men's Tank Top","145g/m², 100% preshrunk ringspun cotton, sport grey: 85% cotton, 15% viscose, single jersey","Tubular construction, neck tape and armholes with single jersey binding"
"01.0201","Men's T-Shirt sleeveless","145g/m², 100% preshrunk ringspun cotton, sport grey: 85% cotton, 15% viscose, single jersey","2-layer, 1x1 rib knit on collar with elastane"
"01.0202","Men's Sport Shorts","185g/m², 100% preshrunk ringspun cotton, single jersey, sport grey: 85% cotton, 15% viscose","Elastic waistband, 2 open slide-in pocktes and 1 back pocket, knee length"
"01.0275","Ladies' Medium Fit V-Neck T-Shirt","135g/m², 65% polyester, 35% preshrunk ringspun cotton, single jersey","Feminine V-neck, necktape, raglan sleeves, double stitching on hem and cuffs, mottled yarn"
"01.0300","Kids' T-Shirt","145g/m², 100% preshrunk ringspun cotton, ash: 99% preshrunk ringspun cotton, 1% viscose, sport grey: 85% preshrunk ringspun cotton, 15% viscose, single jersey","Tubular construction, 2-layer, 1x1 rib knit on collar with elastane"
"01.0301","Heavy Kids' T-Shirt","185g/m², 100% preshrunk ringspun cotton, ash: 99% cotton, 1% viscose, sport grey: 85% cotton, 15% viscose, single jersey","Generous cut, tubular construction, 2-layer, 1x1 rib knit on collar with elastane"
"01.0350","Kids' Raglan Contrast T-Shirt","185g/m², 100% preshrunk ringspun cotton, single jersey","2-layer, raglan sleeves in contrasting color, 1x1 rib knit on collar with elastane"
"01.0409","Piqué Polo","180g/m², 100% preshrunk combed ringspun cotton, ash: 99% cotton, 1% viscose, heather grey: 90% cotton, 10% viscose","Renewed model My Polo 180 (article: 01.U424), 1x1 rib knit collar and cuffs, reinforced 3 button-placket with buttons tone-in-tone"
