"stil","ime_cescina","opis_materiala_cescina","opis_artikla_cescina"
"01.0002","Tricko","145g/m², 100% predepraná prstencová bavlna, ash: 99% bavlna, 1% viskóza, sport grey: 85% bavlna, 15% viskóza, single jersey","Inovovaný a vylepšený model E150 (položka: 01.001T) v k dostání ve 40 barvách, kulatá pletenina, 1x1 žebrovaná 2-vrstvá krcní manžeta s elastanem"
"01.0003","Tricko s dlouhým rukávem","145g/m², 100% predepraná prstencová bavlna, ash: 99% predepraná prstencová bavlna, 1% viskóza, sport grey: 85% predepraná prstencová bavlna, 15% viskóza, single jersey","Kulatá pletenina, 2-vrstvý materiál, 1x1 žebrovaný úplet na krku s elastanem, bez manžet na rukávech"
"01.0004","Tricko z težké bavlny","185g/m², 100% predepraná prstencová bavlna, ash: 99% bavlna, 1% viskóza, sport grey: 85% bavlna, 15% viskóza, single jersey","Inovovaný a vylepšený model E190 (položka: 01.003T) v k dostání ve 40 barvách, kulatá pletenina, 1x1 žebrovaná 2-vrstvá krcní manžeta s elastanem"
"01.0006","Tricko s výstrihem do V","145g/m², 100% predepraná prstencová bavlna, sport grey: 85% bavlna, 15% viskóza, single jersey","Kulatá pletenina, 2-vrstvý materiál, malý výstrih do V, 1x1 žebrovaný úplet na krku s elastanem"
"01.0010","Pánské tricko","145g/m², 100% predepraná prstencová bavlna, single jersey","Vypasovaný strih, 1x1 žebrovaná krcní manžeta"
"01.0014","Dámské tílko","145g/m², 100% predepraná prstencová bavlna, single jersey","Výstrih a pruramky v 1x1 žebrovaném úpletu, široká ramínka"
"01.001T","Tricko","145g/m², 100% predepraná prstencová bavlna, ash: 99% bavlna, 1% viskóza, sport grey: 85% bavlna, 15% viskóza, single jersey","Ležérní strih, kulatá pletenina, 2-vrstvý úzký kulatý výstrih v žebrovaném úpletu, krcní lemovka, úzké rukávy"
"01.0020","Raglánové kontrastní tricko","185g/m², 100% predepraná prstencová bavlna, single jersey","2-vrstvý materiál, raglánové rukávy v kontrastní barve, 1x1 žebrovaný úplet na krku s elastanem"
"01.002T","Dámské tricko","145g/m², 100% predepraná prstencová bavlna, ash: 99% bavlna, 1% viskóza, sport grey: 85% bavlna, 15% viskóza, single jersey","ženský strih, úzký kulatý výstrih v žebrovaném úpletu, krcní lemovka"
"01.0035","Pánské slubové tricko","150g/m², 100% predepraná prstencová bavlna, single jersey slub","Kulatý výstrih v 1x1 žebrovaném úpletu, úzce olemovaný, ohrnutý lem pripevnený pomocí 2 zapošití, lem se slepým stehem, slubová príze"
"01.003T","Tricko z težké bavlny","185g/m², 100% predepraná prstencová bavlna, ash: 99% bavlna, 1% viskóza, sport grey: 85% bavlna, 15% viskóza, single jersey","Ležérní strih, kulatá pletenina, 2-vrstvý úzký kulatý výstrih v žebrovaném úpletu, krcní lemovka, úzké rukávy"
"01.0041","Dámské tricko Medium Fit z težké bavlny","185g/m², 100% predepraná prstencová bavlna, single jersey","široký kulatý výstrih v žebrovaném úpletu 1x1 s prošitými okrajovými švy, krcní lemovka, dvojité prošívání ve spodní cásti pasu a na manžetách rukávu"
"01.0042","Pracovní softshellová bunda","Vnejší strana: 96% polyester, 4% elastan, mini ripstop, strední vrstva: prodyšná, vetruodolná a vodeodolná TPU-membrána, uvnitr: 100% polyester mikrofleece","Ergonomický strih, zesílené vsadky (cerné) na ramenou, loktech a na zadním lemu, nastavitelný lem se šnurkami a zarážkami, 5 multifunkcních kapes, prodloužená záda, prístup k zušlechtení na prední a zadní strane a na rukávech, reflexní lem (bez ochranné funkce) na ramenou a v dolní cásti zad"
"01.004T","Dámské tricko z težké bavlny","185g/m², 100% predepraná prstencová bavlna, ash: 99% bavlna, 1% viskóza, sport grey: 85% bavlna, 15% viskóza, single jersey","ženský strih, úzký kulatý výstrih v žebrovaném úpletu, krcní lemovka"
"01.005T","Tricko s dlouhým rukávem","145g/m², 100% predepraná prstencová bavlna, single jersey, sport grey: 85% bavlna, 15% viskóza","Ležérní strih, kulatá pletenina, úzký kulatý výstrih v žebrovaném úpletu, krcní lemovka, saténový štítek"
"01.0062","Pánská 2-vrstvá softshellová bunda","300g/m², vnejší strana: 96% polyester, 4% elastan (softshellová tkanina), uvnitr: 100% polyester mikrofleece","Vodoodpudivý materiál, prodyšný materiál, stojatý límec, delší lem, 2 zasouvací kapsy na zip, 2 vnitrní kapsy, odsazené švy na rameni, zesílené dvojité švy, podšívka v kontrastní barve, prístup k zušlechtení na prední a zadní strane a na rukávech, 2-cestný strec"
"01.0063","Dámská 2-vrstvá softshellová bunda","300g/m², vnejší strana: 96% polyester, 4% elastan (softshellová tkanina), uvnitr: 100% polyester mikrofleece","Vodoodpudivý materiál, prodyšný materiál, stojatý límec, delší lem, 2 zasouvací kapsy na zip, 2 vnitrní kapsy, odsazené švy na rameni, zesílené dvojité švy, podšívka v kontrastní barve, prístup k zušlechtení na prední a zadní strane a na rukávech, 2-cestný strec"
"01.006T","Dámské tricko s dlouhým rukávem","145g/m², 100% predepraná prstencová bavlna, single jersey, sport grey: 85% bavlna, 15% viskóza","ženský strih, úzký kulatý výstrih v žebrovaném úpletu, saténový štítek"
