"stil","ime_nemscina","opis_materiala_nemscina","opis_artikla_nemscina"
"01.0002","T-Shirt","145g/m², 100% einlaufvorbehandelte ringgesponnene Baumwolle, ash: 99% Baumwolle, 1% Viskose, sport grey: 85% Baumwolle, 15% Viskose, Single Jersey","Erneuertes und verbessertes Modell E150 (Artikel: 01.001T) in 40 Farben erhältlich, Rundstrickware, 1x1 geripptes 2-lagiges Halsbündchen mit Elasthan"
"01.0003","T-Shirt langarm","145g/m², 100% einlaufvorbehandelte ringgesponnene Baumwolle, ash: 99% einlaufvorbehandelte ringgesponnene Baumwolle, 1% Viskose, sport grey: 85% einlaufvorbehandelte ringgesponnene Baumwolle, 15% Viskose, Single Jersey","Rundstrickware, 2-lagig, 1x1 Rippstrick am Halsbund mit Elasthan, ohne Ärmelbündchen"
"01.0004","Schweres T-Shirt","185g/m², 100% einlaufvorbehandelte ringgesponnene Baumwolle, ash: 99% Baumwolle, 1% Viskose, sport grey: 85% Baumwolle, 15% Viskose, Single Jersey","Erneuertes und verbessertes Modell E190 (Artikel: 01.003T) in 40 Farben erhältlich, Rundstrickware, 1x1 geripptes 2-lagiges Halsbündchen mit Elasthan"
"01.0006","V-Ausschnitt T-Shirt","145g/m², 100% einlaufvorbehandelte ringgesponnene Baumwolle, sport grey: 85% Baumwolle, 15% Viskose, Single Jersey","Rundstrickware, 2-lagig, kleiner V-Ausschnitt, 1x1 Rippstrick am Halsbund mit Elasthan"
"01.0010","Herren T-Shirt","145g/m², 100% einlaufvorbehandelte ringgesponnene Baumwolle, Single Jersey","Taillierter Schnitt, 1x1 geripptes Halsbündchen"
"01.0014","Damen Tanktop","145g/m², 100% einlaufvorbehandelte ringgesponnene Baumwolle, Single Jersey","Hals- und Armausschnitt in 1x1 Rippstrick, breite Träger"
"01.001T","T-Shirt","145g/m², 100% einlaufvorbehandelte ringgesponnene Baumwolle, ash: 99% Baumwolle, 1% Viskose, sport grey: 85% Baumwolle, 15% Viskose, Single Jersey","Legerer Schnitt, Rundstrickware, 2-lagiger schmaler Rundhalsausschnitt in Rippstrick, Nackenband, schmale Ärmel"
"01.0020","Raglan Kontrast T-Shirt","185g/m², 100% einlaufvorbehandelte ringgesponnene Baumwolle, Single Jersey","2-lagig, Raglanärmel in Kontrastfarbe, 1x1 Rippstrick am Halsbund mit Elasthan"
"01.002T","Damen T-Shirt","145g/m², 100% einlaufvorbehandelte ringgesponnene Baumwolle, ash: 99% Baumwolle, 1% Viskose, sport grey: 85% Baumwolle, 15% Viskose, Single Jersey","Feminine Passform, schmaler Rundhalsausschnitt in Rippstrick, Nackenband"
"01.0035","Herren Slub T-Shirt","150g/m², 100% einlaufvorbehandelte ringgesponnene Baumwolle, Single Jersey Slub","Rundhalsausschnitt in 1x1 Rippstrick, schmal eingefasster Rundhalsausschnitt, umgeschlagener Saum mit 2 Klettriegeln, Blindstichsaum, geflammtes Garn"
"01.003T","Schweres T-Shirt","185g/m², 100% einlaufvorbehandelte ringgesponnene Baumwolle, ash: 99% Baumwolle, 1% Viskose, sport grey: 85% Baumwolle, 15% Viskose, Single Jersey","Legerer Schnitt, Rundstrickware, 2-lagiger schmaler Rundhalsausschnitt in Rippstrick, Nackenband, schmale Ärmel"
"01.0041","Schweres Damen Medium Fit T-Shirt","185g/m², 100% einlaufvorbehandelte ringgesponnene Baumwolle, Single Jersey","Weiter Rundhalsausschnitt in Rippstrick 1x1 mit abgesteppten Randnähten, Nackenband, Doppelziernaht am Bund unten und am Ärmelbündchen"
"01.0042","Workwear Softshell Jacke","Außen: 96% Polyester, 4% Elasthan, Mini Ripstop, Mittelschicht: atmungsaktive, windabweisende und wasserdichte TPU-Schichtmembran, Innen: 100% Polyester Microfleece","Ergonomische Passform, verstärkte Besätze (schwarz) an Schultern, Ellbogen und hinterem Saum, verstellbarer Saum mit Kordeln und Stoppern, 5 Multifunktionstaschen, länger geschnittener Rücken, Veredelungszugang an Vorder- und Rückenteil und am Ärmel, Reflexpaspel (ohne Schutzfunktion) an Schulterbesätzen und unterem Rückenteil"
"01.004T","Schweres Damen T-Shirt","185g/m², 100% einlaufvorbehandelte ringgesponnene Baumwolle, ash: 99% Baumwolle, 1% Viskose, sport grey: 85% Baumwolle, 15% Viskose, Single Jersey","Feminine Passform, schmaler Rundhalsausschnitt in Rippstrick, Nackenband"
"01.005T","T-Shirt langarm","145g/m², 100% einlaufvorbehandelte ringgesponnene Baumwolle, Single Jersey, sport grey: 85% Baumwolle, 15% Viskose","Legerer Schnitt, Rundstrickware, schmaler Rundhalsausschnitt in Rippstrick, Nackenband, Satin-Label"
"01.0062","Herren 2-Lagen Softshell Jacke","300g/m², Außen: 96% Polyester, 4% Elasthan (Softshellgewebe), Innen: 100% Polyester Microfleece","Wasserabweisend, atmungsaktiv, Stehkragen, längerer Saum, 2 Einschubtaschen mit Reißverschluss, 2 Innentaschen, versetzte Nähte auf der Schulter, Doppelnähte verstärkt, Futter in Kontrastfarbe, Veredelungszugang an Vorder- und Rückenteil und am Ärmel, 2-Wege Stretch"
"01.0063","Damen 2-Lagen Softshell Jacke","300g/m², Außen: 96% Polyester, 4% Elasthan (Softshellgewebe), Innen: 100% Polyester Microfleece","Wasserabweisend, atmungsaktiv, Stehkragen, längerer Saum, 2 Einschubtaschen mit Reißverschluss, 2 Innentaschen, versetzte Nähte auf der Schulter, Doppelnähte verstärkt, Futter in Kontrastfarbe, Veredelungszugang an Vorder- und Rückenteil und am Ärmel, 2-Wege Stretch"
"01.006T","Damen T-Shirt langarm","145g/m², 100% einlaufvorbehandelte ringgesponnene Baumwolle, Single Jersey, sport grey: 85% Baumwolle, 15% Viskose","Feminine Passform, schmaler Rundhalsausschnitt in Rippstrick, Satin-Label"
"01.007T","Schweres T-Shirt langarm","185g/m², 100% einlaufvorbehandelte ringgesponnene Baumwolle, Single Jersey, sport grey: 85% Baumwolle, 15% Viskose","Legerer Schnitt, Rundstrickware, schmaler Rundhalsausschnitt in Rippstrick, Nackenband, Satin-Label"
"01.008T","Schweres Damen T-Shirt langarm","185g/m², 100% einlaufvorbehandelte ringgesponnene Baumwolle, Single Jersey, sport grey: 85% Baumwolle, 15% Viskose","Feminine Passform, schmaler Rundhalsausschnitt in Rippstrick, Nackenband, Satin-Label"
"01.0100","Damen Ripp T-Shirt","230g/m², 100% einlaufvorbehandelte ringgesponnene Baumwolle","Taillierter Schnitt, Rundhalskragen mit Rippstrick-Paspel, 1x1 Rippstrick"
"01.0102","Damen Ripp V-Ausschnitt T-Shirt","210g/m², 100% einlaufvorbehandelte ringgesponnene Baumwolle","Taillierter Schnitt, V-Ausschnitt mit 1x1 Rippstrickeinfassung, 1x1 Rippstrick"
"01.0189","Denim Freizeit Tasche","100% Baumwoll-Denim-Twill, schwerer Denim","Langer verstellbarer Schultergurt aus schwerem Baumwollband, zweiter Handgriff kurz gehalten für das Tragen in der Hand, robuster durchgehender Metallreißverschluss oben aus Antik-Messing verdeckt durch Denim-Lasche, Innentasche mit Reißverschluss"
"01.0200","Herren Tanktop","145g/m², 100% einlaufvorbehandelte ringgesponnene Baumwolle, sport grey: 85% Baumwolle, 15% Viskose, Single Jersey","Rundstrickware, Halsabschluss und Armausschnitte mit Single Jersey-Einfassung"
"01.0201","Herren T-Shirt ärmellos","145g/m², 100% einlaufvorbehandelte ringgesponnene Baumwolle, sport grey: 85% Baumwolle, 15% Viskose, Single Jersey","2-lagig, 1x1 Rippstrick am Halsbund mit Elasthan"
"01.0202","Herren Sport Shorts","185g/m², 100% einlaufvorbehandelte ringgesponnene Baumwolle, Single Jersey, sport grey: 85% Baumwolle, 15% Viskose","Elastischer Taillenbund, 2 offene Einschubtaschen und 1 Gesäßtasche, knielang"
"01.0275","Damen Medium Fit V-Ausschnitt T-Shirt","135g/m², 65% Polyester, 35% einlaufvorbehandelte ringgesponnene Baumwolle, Single Jersey","Femininer V-Ausschnitt, Nackenband, Raglanärmel, Doppelziernaht am Bund unten und am Ärmelbündchen, meliertes Garn"
"01.0300","Kinder T-Shirt","145g/m², 100% einlaufvorbehandelte ringgesponnene Baumwolle, ash: 99% einlaufvorbehandelte ringgesponnene Baumwolle, 1% Viskose, sport grey: 85% einlaufvorbehandelte ringgesponnene Baumwolle, 15% Viskose, Single Jersey","Rundstrickware, 2-lagig, 1x1 Rippstrick am Halsbund mit Elasthan"
"01.0301","Schweres Kinder T-Shirt","185g/m², 100% einlaufvorbehandelte ringgesponnene Baumwolle, ash: 99% Baumwolle, 1% Viskose, sport grey: 85% Baumwolle, 15% Viskose, Single Jersey","Großzügiger Schnitt, Rundstrickware, 2-lagig, 1x1 Rippstrick am Halsbund mit Elasthan"
"01.0350","Kinder Raglan Kontrast T-Shirt","185g/m², 100% einlaufvorbehandelte ringgesponnene Baumwolle, Single Jersey","2-lagig, Raglanärmel in Kontrastfarbe, 1x1 Rippstrick am Halsbund mit Elasthan"
"01.0409","Piqué Polo","180g/m², 100% einlaufvorbehandelte gekämmte ringgesponnene Baumwolle, ash: 99% Baumwolle, 1% Viskose, heather grey: 90% Baumwolle, 10% Viskose","Erneuertes Modell My Polo 180 (Artikel: 01.U424), Kragen und Armabschlüsse in 1x1 Rippstrick, 3er Knopfleiste verstärkt mit Knöpfen Ton-in-Ton"
"01.0413","Piqué Polo mit Streifen","180g/m², 100% einlaufvorbehandelte gekämmte ringgesponnene Baumwolle","Gestrickter Polokragen und Ärmelbündchen mit Streifen in Kontrastfarbe, Kragen und Armabschlüsse in 1x1 Rippstrick, 3er Knopfleiste verstärkt, Knopfleiste innen und Nackenband"
"01.0414","Piqué Polo langarm","180g/m², 100% einlaufvorbehandelte gekämmte ringgesponnene Baumwolle, ash: 99% Baumwolle, 1% Viskose, heather grey: 90% Baumwolle, 10% Viskose","Kragen und Armabschlüsse in 1x1 Rippstrick, 3er Knopfleiste verstärkt mit Knöpfen Ton-in-Ton"
"01.0415","Piqué Polo mit Brusttasche","180g/m², 100% einlaufvorbehandelte gekämmte ringgesponnene Baumwolle, ash: 99% Baumwolle, 1% Viskose","Kragen und Armabschlüsse in 1x1 Rippstrick, 3er Knopfleiste verstärkt mit Knöpfen Ton-in-Ton, linke Brusttasche mit Futterstoff verstärkt"
"01.0422","Schweres Piqué Polo","230g/m², 100% einlaufvorbehandelte gekämmte ringgesponnene Baumwolle, ash: 99% Baumwolle, 1% Viskose, heather grey: 90% Baumwolle, 10% Viskose","Erneuertes Modell 01.U426 (Artikel: My Polo 210), Kragen und Armabschlüsse in 1x1 Rippstrick, 3er Knopfleiste verstärkt mit Knöpfen Ton-in-Ton, Seitenschlitze, sehr feines Piqué"
"01.0423","Schweres Piqué Polo langarm","230g/m², 100% einlaufvorbehandelte gekämmte ringgesponnene Baumwolle, heather grey: 90% Baumwolle, 10% Viskose","Kragen und Armabschlüsse in 1x1 Rippstrick, 3er Knopfleiste verstärkt mit Knöpfen Ton-in-Ton, Seitenschlitze, sehr feines Piqué"
"01.0430","Herren Bio Piqué Polo","170g/m², 100% einlaufvorbehandelte ringgesponnene zertifizierte Bio-Baumwolle in Umstellung (in conversion), heather grey: 90% einlaufvorbehandelte ringgesponnene zertifizierte Bio-Baumwolle in Umstellung (in conversion), 10% Viskose","Klassischer Schnitt, Kragen und Bündchen in 1x1 Rippstrick, 2er Knopfleiste mit Knöpfen Ton-in-Ton, Nackenband, TearAway Label, neutrales Größenlabel"
"01.0440","Damen Bio Piqué Polo","170g/m², 100% einlaufvorbehandelte ringgesponnene zertifizierte Bio-Baumwolle in Umstellung (in conversion), heather grey: 90% einlaufvorbehandelte ringgesponnene zertifizierte Bio-Baumwolle in Umstellung (in conversion), 10% Viskose","Leicht taillierter Schnitt, Kragen und Bündchen in 1x1 Rippstrick, 2er Knopfleiste mit Knöpfen Ton-in-Ton, Nackenband, TearAway Label, neutrales Größenlabel"
"01.0455","Damen Piqué Polo","180g/m², 100% einlaufvorbehandelte gekämmte ringgesponnene Baumwolle, heather grey: 90% Baumwolle, 10% Viskose","Erneuertes Modell My Polo 180 women (Artikel: 01.W461), sehr taillierter Schnitt, Kragen und Ärmelbündchen in 1x1 Rippstrick, 2er Knopfleiste mit Knöpfen Ton-in-Ton"
"01.0456","Damen Piqué Polo langarm","180g/m², 100% einlaufvorbehandelte gekämmte ringgesponnene Baumwolle","Sehr taillierter Schnitt, Kragen in 1x1 Rippstrick, 4er Knopfleiste Ton-in-Ton, Seitenschlitze"
"01.0460","Schweres Damen Piqué Polo","230g/m², 100% einlaufvorbehandelte gekämmte ringgesponnene Baumwolle","Sehr taillierter Schnitt, Kragen in 1x1 Rippstrick, 2er Knopfleiste mit Knöpfen Ton-in-Ton, Seitenschlitze, feines Piqué"
"01.0486","Kinder Piqué Polo","180g/m², 100% einlaufvorbehandelte gekämmte ringgesponnene Baumwolle, ash: 99% Baumwolle, 1% Viskose, heather grey: 90% Baumwolle, 10% Viskose","Kragen und Armabschlüsse in 1x1 Rippstrick, 2er Knopfleiste verstärkt"
"01.0520","Popeline Stretch Bluse 3/4 Arm","135g/m², 97% gekämmte Baumwolle, 3% Elasthan","Taillierter Schnitt, 2-Knopf Manschette, Knöpfe Ton-in-Ton, Baumwolle/Elasthan Mono-Stretch, glatte Rückseite zur Veredelung, 40° waschbar"
"01.0580","Popeline Stretch Hemd langarm","135g/m², 97% gekämmte Baumwolle, 3% Elasthan","Taillierter Schnitt, Knöpfe Ton-in-Ton, 2 Ersatzknöpfe, ohne Brusttasche, ohne Falten auf Rückseite zur Veredelung, Baumwolle/Elasthan Mono-Stretch, 40° waschbar"
"01.0600","Sweater","280g/m², 80% gekämmte ringgesponnene Baumwolle, 20% Polyester, Außen: Baumwolle, Innen: angerautes Fleece","Kragen, Armabschlüsse und Bündchen in 1x1 Rippstrick mit Elasthan, PST-Garn Technologie, feine weiche Oberfläche, geringes Einlaufen"
"01.0610","Sweater Open Hem","280g/m², 80% gekämmte ringgesponnene Baumwolle, 20% Polyester, Außen: Baumwolle, Innen: angerautes Fleece","Kragen in 1x1 Rippstrick mit Elasthan, Seitenschlitze, PST-Garn Technologie, feine weiche Oberfläche"
"01.0620","Kapuzen Sweater","280g/m², 80% gekämmte ringgesponnene Baumwolle, 20% Polyester, Außen: Baumwolle, Innen: angerautes Fleece","Gefütterte Kapuze mit Kordel, Kängurutasche auf der Vorderseite mit verstärkten Nähten, Doppelnähte an Schulter und Ärmel, PST-Garn Technologie, feine weiche Oberfläche"
"01.0641","Damen Kapuzen Sweatjacke","280g/m², 80% gekämmte ringgesponnene Baumwolle, 20% Polyester, Außen: Baumwolle, Innen: Polyester, French Terry (innen nicht angeraut)","Taillierter Schnitt, Kapuze mit Single Jersey Futter, Abschlüsse und Saum in 2x2 Rippstrick, Reißverschluss-Anhänger in Sternform, Raffeffekt an Einschubtaschen und Ärmelansatz, feine weiche Oberfläche"
"01.0642","Damen Kapuzen Sweatjacke","280g/m², 80% gekämmte ringgesponnene Baumwolle, 20% Polyester, Außen: Baumwolle, Innen: ungebürstetes Polyester","Taillierter Schnitt, Kapuze mit Kordel, verdeckter Reißverschluss Ton-in-Ton, 2 Einschubtaschen, feine weiche Oberfläche"
"01.0645","Herren Kapuzen Sweatjacke","280g/m², 80% gekämmte ringgesponnene Baumwolle, 20% Polyester, Außen: Baumwolle, Innen: angerautes Fleece","Kapuze und Kängurutasche mit Einfassung in 2x2 Rippstrick, eingesetzte Ärmel mit Flatlock-Ziernaht, Ärmelbündchen und Bund in 2x2 Rippstrick, PST-Garn Technologie, feine weiche Oberfläche"
"01.0646","Herren Sweatjacke","280g/m², 80% gekämmte ringgesponnene Baumwolle, 20% Polyester, Außen: Baumwolle, Innen: angerautes Fleece","Taillierter Schnitt, Ärmelbündchen und Bund in 2x2 Rippstrick, 2 Seitentaschen in den Ziernähten eingearbeitet, Topstitch-Flatlock-Nähte, PST-Garn Technologie, feine weiche Oberfläche"
"01.0647","Herren Kapuzen Sweatjacke","280g/m², 80% gekämmte ringgesponnene Baumwolle, 20% Polyester, Außen: Baumwolle, Innen: angerautes Fleece","Kapuze mit Kordel, verdeckter Reißverschluss Ton-in-Ton, feine weiche Oberfläche"
"01.0680","Kinder Sweater","280g/m², 80% gekämmte ringgesponnene Baumwolle, 20% Polyester, Außen: Baumwolle, Innen: angerautes Fleece","Kragen, Armabschlüsse und Bündchen in 1x1 Rippstrick mit Elasthan, PST-Garn Technologie, feine weiche Oberfläche, gewebtes Etikett mit Namensfeld und cm Angaben"
"01.0681","Kinder Kapuzen Sweater","280g/m², 80% gekämmte ringgesponnene Baumwolle, 20% Polyester, Außen: Baumwolle, Innen: angerautes Fleece","2-lagige Kapuze ohne Kordel, Kängurutasche mit verstärkten Nähten, Schulternaht und Armausschnitt mit Topstitch-Flachnaht, PST-Garn Technologie, feine weiche Oberfläche"
"01.0682","Kinder Kapuzen Sweatjacke","280g/m², 80% gekämmte ringgesponnene Baumwolle, 20% Polyester, Außen: Baumwolle, Innen: angerautes Fleece","Kapuze ohne Kordel, verdeckter Reißverschluss Ton-in-Ton, PST-Garn Technologie, feine weiche Oberfläche, geringes Einlaufen"
"01.0703","Fleece Jacke","300g/m², 100% Polyester, Antipilling Fleece","Stehkragen, offener Bund mit elastischem Kordelzug mit Stoppern, Reißverschluss Ton-in-Ton, leicht gängiges Reißverschlusssystem, 2 Taschen mit Reißverschluss, Quernaht unterhalb der Brust"
"01.0704","Fleece Pullover mit 1/4 Zip","300g/m², 100% Polyester, Antipilling Fleece","Offener Bund mit elastischem Kordelzug mit Stoppern, Reißverschluss Ton-in-Ton, leicht gängiges Reißverschlusssystem, 2 Seitentaschen (Innentaschen aus Interlock Material)"
"01.0705","Fleece Gilet","300g/m², 100% Polyester, Antipilling Fleece","Stehkragen, offener Bund, 2 Vordertaschen mit Reißverschluss, länger geschnittener Rücken, Armausschnitte und Saum mit Paspel Ton-in-Ton"
"01.0717","Herren Microfleece Jacke","170g/m², 100% Polyester, Antipilling Microfleece","Taillierter Schnitt, offener Bund unten und an Ärmeln, ideal auch unter Funktionsjacken, maximaler Wärmeschutz bei minimalem Gewicht und kompaktem Design"
"01.0749","3-Lagen Microfleece Jacke","320g/m², 100% Polyester, Antipilling Microfleece","Atmungsaktive Schichtmembranen, elastische Ärmelbündchen, durchgehende innere Windschutzblende, 2 verdeckte Seitentaschen, elastischer Kordelzug mit 2 Stoppern, angenehmes Stretchfleece, hoher Wärmeschutz, winddicht, regenfest"
"01.0752","Damen Microfleece Jacke","170g/m², 100% Polyester, Antipilling Microfleece","Taillierter Schnitt, offener Bund unten und an Ärmeln, ideal auch unter Funktionsjacken, maximaler Wärmeschutz bei minimalem Gewicht und kompaktem Design"
"01.0800","Ungefütterter Windbreaker","100% Nylon Taffeta®","Wasserabweisend, Kragen mit integrierter Kapuze, verstellbarer Kordelzug am Bund, verdeckter Reißverschluss, Falten und Verstauen der Jacke nach dem K-Way-System in einer Tasche mit doppeltem Reißverschluss"
"01.0801","Gefütterter Windbreaker","Außen: 100% Nylon Taffeta®, Innen: 100% Polyester Netz, Ärmelfutter: 100% Polyester Taffeta® Trikotgewebe","Wasserabweisend, Kragen mit integrierter Kapuze, Kordelzug am Kragen und Bund, verdeckter Reißverschluss mit Zipper in Kontrastfarbe, Veredelungszugang am Rücken, rechte Seitentasche mit K-Way-System zum Verstauen der Jacke"
"01.0802","Windbreaker","100% Polyester","Verstaubare Jacke, atmungsaktiv, Raglanärmel, schmale elastische Einfassung an Saum und Ärmel, 2 Taschen vorne mit Reißverschluss und Sturmklappe, Brusttasche mit gedruckter Outline, passt einfach in eine schmale Handgelenktasche, die sich in der rechten Vordertasche verbirgt, leicht verstaubar, Kopfhörerführung"
"01.0822","Gefütterter Windbreaker","Außen: 100% Nylon Taffeta®, Innen: 100% Polyester Trikotgewebe, Ärmelfutter: 100% Polyester Taffeta®","Wasserabweisend, Kragen mit integrierter Kapuze, verstellbares Ärmelbündchen, durchgehend verdeckter Reißverschluss, 2 Außentaschen, Netzinnenfutter, elastischer Kordelzug, Veredelungszugang im Rückenteil, mit Thermofutter aus angerautem Trikot"
"01.0824","Jacke mit Thermofutter","Außen: 100% Nylon Taffeta®, Innen: 100% Polyester Microfleece, Ärmelfutter: 100% wattiert gesteppt","Wasserabweisend, Kragen mit integrierter Kapuze, verstellbarer Bund mit elastischem Kordelzug, Reißverschluss in Kontrastfarbe, verdeckter Reißverschluss, 2 Außen- und 1 Innentasche, Innenfutter in Kontrastfarbe, Veredelungszugang am Rücken"
