"stil","ime_1"
"01.0002","B&C | Exact 150"
"01.0003","B&C | Exact 150 LSL"
"01.0004","B&C | Exact 190"
"01.0006","B&C | Exact V-Neck"
"01.0010","B&C | Men-Only"
"01.0014","B&C | Women-Only Tattoo"
"01.001T","B&C | #E150"
"01.0020","B&C | Base-Ball"
"01.002T","B&C | #E150 /women"
"01.0035","B&C | Too Chic /men"
"01.003T","B&C | #E190"
"01.0041","B&C | Exact Top /women"
"01.0042","B&C | Shield Softshell Pro"
"01.004T","B&C | #E190 /women"
"01.005T","B&C | #E150 LSL"
"01.0062","B&C | ID.701"
"01.0063","B&C | ID.701 /women"
"01.006T","B&C | #E150 LSL /women"
"01.007T","B&C | #E190 LSL"
"01.008T","B&C | #E190 LSL /women"
"01.0100","B&C | Taste /women"
"01.0102","B&C | Watch /women"
"01.0189","B&C | DNM Feeling Good"
"01.0200","B&C | Athletic Move"
"01.0201","B&C | Exact Move"
"01.0202","B&C | Shorts Move"
"01.0275","B&C | Blondie Deluxe /women"
"01.0300","B&C | Exact 150 /kids"
"01.0301","B&C | Exact 190 /kids"
"01.0350","B&C | Base-Ball /kids"
"01.0409","B&C | Safran"
"01.0413","B&C | Safran Sport"
"01.0414","B&C | Safran LSL"
"01.0415","B&C | Safran Pocket"
"01.0422","B&C | Heavymill"
"01.0423","B&C | Heavymill LSL"
"01.0430","B&C | Inspire Polo /men_°"
"01.0440","B&C | Inspire Polo /women_°"
"01.0455","B&C | Safran Pure /women"
"01.0456","B&C | Safran Pure LSL /women"
"01.0460","B&C | Heavymill /women"
"01.0486","B&C | Safran /kids"
"01.0520","B&C | Milano /women"
"01.0580","B&C | London"
"01.0600","B&C | Set In"
"01.0610","B&C | Open Hem"
"01.0620","B&C | Hooded"
"01.0641","B&C | Wonder /women"
"01.0642","B&C | Hooded Full Zip /women"
"01.0645","B&C | Monster /men"
"01.0646","B&C | Spider /men"
"01.0647","B&C | Hooded Full Zip /men"
"01.0680","B&C | Set In /kids"
"01.0681","B&C | Hooded /kids"
"01.0682","B&C | Hooded Full Zip /kids"
"01.0703","B&C | Icewalker +"
"01.0704","B&C | Highlander +"
"01.0705","B&C | Traveller +"
"01.0717","B&C | Coolstar /men"
"01.0749","B&C | WindProtek"
"01.0752","B&C | Coolstar /women"
"01.0800","B&C | Sirocco"
"01.0801","B&C | Air"
"01.0802","B&C | Dynamic"
"01.0822","B&C | Atlantic Shore"
"01.0824","B&C | Ocean Shore"
"01.0872","B&C | Street"
"01.0880","B&C | Bodywarmer Explorer"
"01.0902","B&C | Sirocco /women"
"01.0910","B&C | Sparkling /women"
"01.0925","B&C | Real + /women"
"01.0930","B&C | Bodywarmer /men"
"01.0935","B&C | Zen + /women"
"01.0937","B&C | Hooded Softshell /women"
"01.0938","B&C | X-Lite Softshell /women"
"01.0939","B&C | Hooded Softshell Gilet /women"
"01.0948","B&C | Cocoon + /men"
"01.0949","B&C | Sparkling /men"
"01.0950","B&C | Sirocco /kids"
"01.0951","B&C | X-Lite Softshell /men"
"01.0969","B&C | Hooded Softshell /kids"
"01.0970","B&C | Real + /men"
"01.0B01","B&C | Biosfair Tee /women"
"01.0C01","B&C | Perfect Pro"
"01.0C10","B&C | Skill Pro"
"01.0C11","B&C | Energy Pro"
"01.0C12","B&C | Coolpower Pro Polo"
"01.0C20","B&C | Hero Pro"
"01.0C40","B&C | Expert Pro"
"01.0C50","B&C | Universal Pro"
"01.0C51","B&C | Performance Pro"
"01.0I12","B&C | ID.001 LSL"
"01.0I13","B&C | ID.001 LSL /women"
"01.0L09","B&C | Love Story"
"01.0P21","B&C | Black Tie LSL /men"
"01.0P22","B&C | Black Tie SSL /men"
"01.0P23","B&C | Black Tie LSL /women"
"01.0P24","B&C | Black Tie SSL /women"
"01.0P41","B&C | Heritage LSL /men"
"01.0P42","B&C | Heritage SSL /men"
"01.0P43","B&C | Heritage LSL /women"
"01.0P44","B&C | Heritage SSL /women"
"01.0P61","B&C | Smart LSL /men"
"01.0P62","B&C | Smart SSL /men"
"01.0P63","B&C | Smart LSL /women"
"01.0P64","B&C | Smart SSL /women"
"01.0T81","B&C | Sharp LSL /men"
"01.0T82","B&C | Sharp SSL /men"
"01.0T83","B&C | Sharp LSL /women"
"01.0T84","B&C | Sharp SSL /women"
"01.1489","B&C | DNM Supremacy /men"
"01.1950","B&C | Hooded Softshell /men"
"01.2083","B&C | DNM Invincible /men"
"01.2183","B&C | DNM Invincible /women"
"01.2275","B&C | DNM Starlight /men"
"01.2375","B&C | DNM Starlight /women"
"01.3093","B&C | DNM Forward /men"
"01.3193","B&C | DNM Forward /women"
"01.7085","B&C | DNM Plug In /men"
"01.7185","B&C | DNM Plug In /women"
"01.7392","B&C | DNM Editing/women"
"01.8589","B&C | DNM Vision /men"
"01.8689","B&C | DNM Vision /women"
"01.I202","B&C | ID.202 50/50"
"01.I203","B&C | ID.203 50/50"
"01.I205","B&C | ID.205 50/50"
"01.ID01","B&C | ID.001"
"01.ID02","B&C | ID.002 80/20"
"01.ID03","B&C | ID.003 80/20"
"01.ID04","B&C | ID.004 80/20"
"01.ID10","B&C | ID.001 /women"
"01.J873","B&C | Corporate 3-in-1"
"01.TM42","B&C | Inspire T /men_°"
"01.TM44","B&C | Inspire V T /men_°"
"01.TM46","B&C | Inspire Slub T /men_°"
"01.TM55","B&C | Triblend /men"
"01.TM70","B&C | Inspire LSL T /men_°"
"01.TM72","B&C | Inspire Tank T /men_°"
"01.TW43","B&C | Inspire T /women_°"
"01.TW45","B&C | Inspire V T /women_°"
"01.TW47","B&C | Inspire Slub T /women_°"
"01.TW56","B&C | Triblend /women"
"01.TW71","B&C | Inspire LSL T /women_°"
"01.TW73","B&C | Inspire Tank T /women_°"
"01.U01B","B&C | #Inspire E150_°"
"01.U01K","B&C | KING Crew Neck_°"
"01.U01W","B&C | #Set In"
"01.U02K","B&C | KING Hooded_°"
"01.U03K","B&C | KING Zipped Hood_°"
"01.U03W","B&C | #Hoodie"
"01.U31B","B&C | Inspire Crew Neck_°"
"01.U33B","B&C | Inspire Hooded_°"
"01.U35B","B&C | Inspire Zipped Hood_°"
"01.U424","B&C | My Polo 180"
"01.U425","B&C | My Polo 180 LSL"
"01.U426","B&C | My Polo 210"
"01.U427","B&C | My Polo 210 LSL"
"01.U428","B&C | My Eco Polo 65/35_°"
"01.UC41","B&C | Shelter Pro"
"01.W01Q","B&C | QUEEN Crew Neck_°"
"01.W02B","B&C | #Inspire E150 /women_°"
"01.W02Q","B&C | QUEEN Hooded_°"
"01.W02W","B&C | #Set In /women"
"01.W03Q","B&C | QUEEN Zipped Hood_°"
"01.W04W","B&C | #Hoodie /women"
"01.W32B","B&C | Inspire Crew Neck /women_°"
"01.W34B","B&C | Inspire Hooded /women_°"
"01.W36B","B&C | Inspire Zipped Hood /women_°"
"01.W457","B&C | Safran Timeless /women"
"01.W461","B&C | My Polo 180 /women"
"01.W462","B&C | My Polo 180 LSL /women"
"01.W463","B&C | My Polo 210 /women"
"01.W464","B&C | My Polo 210 LSL /women"
"01.W465","B&C | My Eco Polo 65/35 /women_°"
"01.XF01","B&C | Oxford LSL /men"
"01.XF02","B&C | Oxford SSL /men"
"01.XF03","B&C | Oxford LSL /women"
"01.XF04","B&C | Oxford SSL /women"
"01.ZF01","B&C | Colour Card"
"02.0001","James & Nicholson | JN 01"
"02.0002","James & Nicholson | JN 02"
"02.0003","James & Nicholson | JN 03"
"02.0004","James & Nicholson | JN 04"
"02.0010","James & Nicholson | JN 10"
"02.0019","James & Nicholson | JN 19"
"02.0020","James & Nicholson | JN 20"
"02.0021","James & Nicholson | JN 21"
"02.0022","James & Nicholson | JN 22"
"02.0023","James & Nicholson | JN 23"
"02.0024","James & Nicholson | JN 24"
