"sku","teza"
"494900vo699",0.83
"494900m1699",0.83
"49490035099",0.83
"494900vo399",0.83
"494900vo299",0.83
"494899vo699",0.53
"494899m1699",0.53
"49489935099",0.53
"494899vo399",0.53
"494899vo299",0.53
"494896vo699",0.1
"494896m1699",0.1
"49489635099",0.1
"494896vo399",0.1
"494896vo299",0.1
"494894vo699",0.04
"494894m1699",0.04
"49489435099",0.04
"494894vo399",0.04
"494894vo299",0.04
"496067zzz99",0.31
"497049zzz99",0.82
"496066zzz99",0.77
"496065zzz99",0.49
"496064zzz99",0.26
"496063zzz99",0.09
"496062zzz99",0.04
"49809802099",0.9
"498098vo599",0.9
"49809867099",0.9
"498098vs199",0.9
"498098vs399",0.9
"49809809699",0.9
"498098vs299",0.9
"498098m1599",0.9
"498098zzz99",0.9
"498098i4099",0.9
"49809832699",0.9
"49809800199",0.9
"49808567099",0.57
"498085vs199",0.57
"498085vs399",0.57
"498085m1599",0.57
"498085zzz99",0.57
"498085i4099",0.57
"49808532699",0.57
"49808500199",0.57
"49808467099",0.31
"498084vs199",0.31
"498084m1599",0.31
"498084zzz99",0.31
"498084i4099",0.31
"49808432699",0.31
"49808400199",0.31
"49809602099",0.15
"498096vo599",0.15
"49809667099",0.15
"498096vs199",0.15
"498096vs399",0.15
"49809609699",0.15
"498096vs299",0.15
"498096m1599",0.15
"498096zzz99",0.15
"498096i4099",0.15
"49809632699",0.15
"49809600199",0.15
"498098vo999",0.9
"498098m1799",0.9
"498098vo199",0.9
"498098vo899",0.9
"498085vo999",0.57
"498085m1799",0.57
"498085vo199",0.57
"498085vo899",0.57
"498096vo999",0.15
"498096m1799",0.15
"498096vo199",0.15
"498096vo899",0.15
"498085vs299",0.57
"49808509699",0.57
"49808502099",0.57
"498085vo599",0.57
"498084vs299",0.31
"49808409699",0.31
"49808402099",0.31
"498084vs399",0.31
"498084vo599",0.31
"498084vo999",0.31
"498084m1799",0.31
"498084vo199",0.31
"498084vo899",0.31
"494894m1599",0.04
"494898vo699",0.29
"494898m1699",0.29
"49489835099",0.29
"494898vo399",0.29
"494898vo299",0.29
"49490032699",0.83
"494900j5899",0.83
"49489932699",0.53
"494899j5899",0.53
"49489632699",0.1
"494896j5899",0.1
"49606667099",0.77
"49606602099",0.77
"496066m1599",0.77
"496066vo499",0.77
"49606600199",0.77
"49606567099",0.49
"49606502099",0.49
"496065m1599",0.49
"496065vo499",0.49
"49606500199",0.49
"49606467099",0.26
"49606402099",0.26
"496064m1599",0.26
"496064vo499",0.26
"49606400199",0.26
"49606367099",0.09
"49606302099",0.09
"496063m1599",0.09
"496063vo499",0.09
"49606300199",0.09
"49606267099",0.04
"49606202099",0.04
"494951n7299",0.89
"496062m1599",0.04
"496062vo499",0.04
"49606200199",0.04
"49606767099",0.31
"49606702099",0.31
"496067m1599",0.31
"496067vo499",0.31
"49606700199",0.31
"494951m1599",0.89
"494900m1599",0.83
"494899m1599",0.53
"494898m1599",0.29
"494896m1599",0.1
"494900o6199",0.83
"494899o6199",0.53
"494898o6199",0.29
"494896o6199",0.1
"494894o6199",0.04
"49704902099",0.82
"494898j5899",0.29
"497049m1599",0.82
"49704900199",0.82
"49490023599",0.83
"49489923599",0.53
"49489623599",0.1
"49489423599",0.04
"49495132699",0.89
"49489823599",0.29
"49489432699",0.04
"494894j5899",0.04
"49489430599",0.04
"49489400299",0.04
"494894i1699",0.04
"49489403999",0.04
"49489444099",0.04
"494894vo499",0.04
"494894zzz99",0.04
"494894a3999",0.04
"49489400199",0.04
"49495100199",0.89
"49489630599",0.1
"49489600299",0.1
"494896i1699",0.1
"49489603999",0.1
"49489644099",0.1
"494896vo499",0.1
"494896zzz99",0.1
"494896a3999",0.1
"49489600199",0.1
"49490030599",0.83
"49490000299",0.83
"494900i1699",0.83
"49490003999",0.83
"49490044099",0.83
"494900vo499",0.83
"494900zzz99",0.83
"494900a3999",0.83
"49490000199",0.83
"49489930599",0.53
"49489900299",0.53
"494899i1699",0.53
"49489903999",0.53
"49489944099",0.53
"494899vo499",0.53
"494899zzz99",0.53
"494899a3999",0.53
"49489900199",0.53
"49489830599",0.29
"49489800299",0.29
"494898i1699",0.29
"49489803999",0.29
"49489844099",0.29
"494898vo499",0.29
"494898zzz99",0.29
"494898a3999",0.29
"49489800199",0.29
"494951y1299",0.89
"494900y1299",0.83
"494899y1299",0.53
"494898y1299",0.29
"494896y1299",0.1
"494894y1299",0.04
"49489832699",0.29
"494900n7299",0.83
"494899n7299",0.53
"494898n7299",0.29
"494896n7299",0.1
"494894n7299",0.04
"481061zy299",0.81
"48106154099",0.81
"481061zy199",0.81
"481061zy099",0.81
"481061zx999",0.81
"48106102099",0.81
"48106100399",0.81
"48106100299",0.81
"481067zy299",0.44
"48106754099",0.44
"481067zy199",0.44
"481067zy099",0.44
"481067zx999",0.44
"48106702099",0.44
"48106700399",0.44
"48106700299",0.44
"481065zy299",0.23
"48106554099",0.23
"481065zy199",0.23
"481065zy099",0.23
"481065zx999",0.23
"48106502099",0.23
"48106500399",0.23
"48106500299",0.23
"48105912599",0.54
"48105900499",0.54
"48102545099",0.16
"48102500499",0.16
"48102323599",0.39
"48102223599",0.2
"48102212299",0.2
"48103112599",0.03
"48100612599",0.44
"48100312599",0.08
"48100512599",0.23
"48100112599",0.81
"481031r4299",0.03
"481006r4299",0.44
"481003r4299",0.08
"481005r4299",0.23
"481001r4299",0.81
"48101979799",0.27
"481031za799",0.03
"481017e1499",0.54
"481017w3799",0.54
"481016e1499",0.36
"481016w3799",0.36
"481015e1499",0.28
"481015w3799",0.28
"48104302236",1.65
"48104302212",1.44
"48104302234",1.58
"48101112236",1.13
"48101112212",1.11
"48101112234",1.12
"48102103736",1.63
"48102103712",1.36
"48102103734",1.54
"481021za736",1.63
"481021za712",1.36
"481021za734",1.54
"481011w3736",1.13
"481011w3712",1.11
"481011w3734",1.12
"481006h2299",0.44
"481006za799",0.44
"481005h2299",0.23
"481005za799",0.23
"481003za799",0.08
"48100203999",0.95
"481002w3799",0.95
"481001h2299",0.81
"481001za799",0.81
"48104823599",0.15
"48108502099",0.99
"48108500399",0.99
"48108500199",0.99
"48104300136",1.65
"48104300112",1.44
"48104300134",1.58
"481007508i3",0.58
"481007508i2",0.56
"481007508i1",0.49
"48100950899",0.25
"48100850899",0.31
"481000z7799",0.05
"48100337099",0.08
"48105965099",0.54
"48105900399",0.54
"481059e1499",0.54
"481059zc099",0.54
"48105910599",0.54
"481059a9699",0.54
"48101800199",0.09
"48101823599",0.09
"48100812299",0.31
"481080e1499",0.04
"481083e1499",0.54
"481082e1499",0.28
"481081e1499",0.08
"48105685899",0.94
"48104500399",0.41
"48104502099",0.41
"48104400334",0.45
"48104402034",0.45
"48101132636",1.13
"48101132612",1.11
"48101132634",1.12
"481011e1436",1.13
"481011e1412",1.11
"481011e1434",1.12
"48102345099",0.39
"48102300499",0.39
"48102300399",0.39
"48102300299",0.39
"48102245099",0.2
"48100303999",0.08
"48100314599",0.08
"48100335099",0.08
"48100400299",0.04
"481016h2299",0.36
"481007122i1",0.49
"48108402036",1.5
"48108402034",1.43
"48108402012",1.39
"48108400336",1.5
"48108400334",1.43
"48108400312",1.39
"48108400136",1.5
"48108400134",1.43
"48108400112",1.39
"481083v4299",0.54
"481083h2299",0.54
"481083w3299",0.54
"48108300399",0.54
"48108302099",0.54
"48108308999",0.54
"48108300199",0.54
"481082v4299",0.28
"481082h2299",0.28
"481082w3299",0.28
"48108200399",0.28
"48108202099",0.28
"48108208999",0.28
"48108200199",0.28
"481081v4299",0.08
"481081h2299",0.08
"481081w3299",0.08
"48108100399",0.08
"48108102099",0.08
"48108108999",0.08
"48108100199",0.08
"481080v4299",0.04
"481080h2299",0.04
"481080w3299",0.04
"48108000399",0.04
"48108002099",0.04
"48108008999",0.04
