"sku","tip_velikosti"
"494900vo699","all"
"494900m1699","all"
"49490035099","all"
"494900vo399","all"
"494900vo299","all"
"494899vo699","all"
"494899m1699","all"
"49489935099","all"
"494899vo399","all"
"494899vo299","all"
"494896vo699","all"
"494896m1699","all"
"49489635099","all"
"494896vo399","all"
"494896vo299","all"
"494894vo699","all"
"494894m1699","all"
"49489435099","all"
"494894vo399","all"
"494894vo299","all"
"496067zzz99","all"
"497049zzz99","all"
"496066zzz99","all"
"496065zzz99","all"
"496064zzz99","all"
"496063zzz99","all"
"496062zzz99","all"
"49809802099","all"
"498098vo599","all"
"49809867099","all"
"498098vs199","all"
"498098vs399","all"
"49809809699","all"
"498098vs299","all"
"498098m1599","all"
"498098zzz99","all"
"498098i4099","all"
"49809832699","all"
"49809800199","all"
"49808567099","all"
"498085vs199","all"
"498085vs399","all"
"498085m1599","all"
"498085zzz99","all"
"498085i4099","all"
"49808532699","all"
"49808500199","all"
"49808467099","all"
"498084vs199","all"
"498084m1599","all"
"498084zzz99","all"
"498084i4099","all"
"49808432699","all"
"49808400199","all"
"49809602099","all"
"498096vo599","all"
"49809667099","all"
"498096vs199","all"
"498096vs399","all"
"49809609699","all"
"498096vs299","all"
"498096m1599","all"
"498096zzz99","all"
"498096i4099","all"
"49809632699","all"
"49809600199","all"
"498098vo999","all"
"498098m1799","all"
"498098vo199","all"
"498098vo899","all"
"498085vo999","all"
"498085m1799","all"
"498085vo199","all"
"498085vo899","all"
"498096vo999","all"
"498096m1799","all"
"498096vo199","all"
"498096vo899","all"
"498085vs299","all"
"49808509699","all"
"49808502099","all"
"498085vo599","all"
"498084vs299","all"
"49808409699","all"
"49808402099","all"
"498084vs399","all"
"498084vo599","all"
"498084vo999","all"
"498084m1799","all"
"498084vo199","all"
"498084vo899","all"
"494894m1599","all"
"494898vo699","all"
"494898m1699","all"
"49489835099","all"
"494898vo399","all"
"494898vo299","all"
"49490032699","all"
"494900j5899","all"
"49489932699","all"
"494899j5899","all"
"49489632699","all"
"494896j5899","all"
"49606667099","all"
"49606602099","all"
"496066m1599","all"
"496066vo499","all"
"49606600199","all"
"49606567099","all"
"49606502099","all"
"496065m1599","all"
"496065vo499","all"
"49606500199","all"
"49606467099","all"
"49606402099","all"
"496064m1599","all"
"496064vo499","all"
"49606400199","all"
"49606367099","all"
"49606302099","all"
"496063m1599","all"
"496063vo499","all"
"49606300199","all"
"49606267099","all"
"49606202099","all"
"494951n7299","all"
"496062m1599","all"
"496062vo499","all"
"49606200199","all"
"49606767099","all"
"49606702099","all"
"496067m1599","all"
"496067vo499","all"
"49606700199","all"
"494951m1599","all"
"494900m1599","all"
"494899m1599","all"
"494898m1599","all"
"494896m1599","all"
"494900o6199","all"
"494899o6199","all"
"494898o6199","all"
"494896o6199","all"
"494894o6199","all"
"49704902099","all"
"494898j5899","all"
"497049m1599","all"
"49704900199","all"
"49490023599","all"
"49489923599","all"
"49489623599","all"
"49489423599","all"
"49495132699","all"
"49489823599","all"
"49489432699","all"
"494894j5899","all"
"49489430599","all"
"49489400299","all"
"494894i1699","all"
"49489403999","all"
"49489444099","all"
"494894vo499","all"
"494894zzz99","all"
"494894a3999","all"
"49489400199","all"
"49495100199","all"
"49489630599","all"
"49489600299","all"
"494896i1699","all"
"49489603999","all"
"49489644099","all"
"494896vo499","all"
"494896zzz99","all"
"494896a3999","all"
"49489600199","all"
"49490030599","all"
"49490000299","all"
"494900i1699","all"
"49490003999","all"
"49490044099","all"
"494900vo499","all"
"494900zzz99","all"
"494900a3999","all"
"49490000199","all"
"49489930599","all"
"49489900299","all"
"494899i1699","all"
"49489903999","all"
"49489944099","all"
"494899vo499","all"
"494899zzz99","all"
"494899a3999","all"
"49489900199","all"
"49489830599","all"
"49489800299","all"
"494898i1699","all"
"49489803999","all"
"49489844099","all"
"494898vo499","all"
"494898zzz99","all"
"494898a3999","all"
"49489800199","all"
"494951y1299","all"
"494900y1299","all"
"494899y1299","all"
"494898y1299","all"
"494896y1299","all"
"494894y1299","all"
"49489832699","all"
"494900n7299","all"
"494899n7299","all"
"494898n7299","all"
"494896n7299","all"
"494894n7299","all"
"481061zy299","all"
"48106154099","all"
"481061zy199","all"
"481061zy099","all"
"481061zx999","all"
"48106102099","all"
"48106100399","all"
"48106100299","all"
"481067zy299","all"
"48106754099","all"
"481067zy199","all"
"481067zy099","all"
"481067zx999","all"
"48106702099","all"
"48106700399","all"
"48106700299","all"
"481065zy299","all"
"48106554099","all"
"481065zy199","all"
"481065zy099","all"
"481065zx999","all"
"48106502099","all"
"48106500399","all"
"48106500299","all"
"48105912599","all"
"48105900499","all"
"48102545099","all"
"48102500499","all"
"48102323599","all"
"48102223599","all"
"48102212299","all"
"48103112599","all"
"48100612599","all"
"48100312599","all"
"48100512599","all"
"48100112599","all"
"481031r4299","all"
"481006r4299","all"
"481003r4299","all"
"481005r4299","all"
"481001r4299","all"
"48101979799","all"
"481031za799","all"
"481017e1499","all"
"481017w3799","all"
"481016e1499","all"
"481016w3799","all"
"481015e1499","all"
"481015w3799","all"
"48104302236","all"
"48104302212","all"
"48104302234","all"
"48101112236","all"
"48101112212","all"
"48101112234","all"
"48102103736","all"
"48102103712","all"
"48102103734","all"
"481021za736","all"
"481021za712","all"
"481021za734","all"
"481011w3736","all"
"481011w3712","all"
"481011w3734","all"
"481006h2299","all"
"481006za799","all"
"481005h2299","all"
"481005za799","all"
"481003za799","all"
"48100203999","all"
"481002w3799","all"
"481001h2299","all"
"481001za799","all"
"48104823599","all"
"48108502099","all"
"48108500399","all"
"48108500199","all"
"48104300136","all"
"48104300112","all"
"48104300134","all"
"481007508i3","all"
"481007508i2","all"
"481007508i1","all"
"48100950899","all"
"48100850899","all"
"481000z7799","all"
"48100337099","all"
"48105965099","all"
"48105900399","all"
"481059e1499","all"
"481059zc099","all"
"48105910599","all"
"481059a9699","all"
"48101800199","all"
"48101823599","all"
"48100812299","all"
"481080e1499","all"
"481083e1499","all"
"481082e1499","all"
"481081e1499","all"
"48105685899","all"
"48104500399","all"
"48104502099","all"
"48104400334","all"
"48104402034","all"
"48101132636","all"
"48101132612","all"
"48101132634","all"
"481011e1436","all"
"481011e1412","all"
"481011e1434","all"
"48102345099","all"
"48102300499","all"
"48102300399","all"
"48102300299","all"
"48102245099","all"
"48100303999","all"
"48100314599","all"
"48100335099","all"
"48100400299","all"
"481016h2299","all"
"481007122i1","all"
"48108402036","all"
"48108402034","all"
"48108402012","all"
"48108400336","all"
"48108400334","all"
"48108400312","all"
"48108400136","all"
"48108400134","all"
"48108400112","all"
"481083v4299","all"
"481083h2299","all"
"481083w3299","all"
"48108300399","all"
"48108302099","all"
"48108308999","all"
"48108300199","all"
"481082v4299","all"
"481082h2299","all"
"481082w3299","all"
"48108200399","all"
"48108202099","all"
"48108208999","all"
"48108200199","all"
"481081v4299","all"
"481081h2299","all"
"481081w3299","all"
"48108100399","all"
"48108102099","all"
"48108108999","all"
"48108100199","all"
"481080v4299","all"
"481080h2299","all"
"481080w3299","all"
"48108000399","all"
"48108002099","all"
