"stil","vrsta"
"01.0002","T-Shirts"
"01.0003","T-Shirts"
"01.0004","T-Shirts"
"01.0006","T-Shirts"
"01.0010","T-Shirts"
"01.0014","T-Shirts"
"01.001T","T-Shirts"
"01.0020","T-Shirts"
"01.002T","T-Shirts"
"01.0035","T-Shirts"
"01.003T","T-Shirts"
"01.0041","T-Shirts"
"01.0042","Jackets, Workwear & Safety"
"01.004T","T-Shirts"
"01.005T","T-Shirts"
"01.0062","Jackets"
"01.0063","Jackets"
"01.006T","T-Shirts"
"01.007T","T-Shirts"
"01.008T","T-Shirts"
"01.0100","T-Shirts"
"01.0102","T-Shirts"
"01.0189","Bags"
"01.0200","T-Shirts"
"01.0201","T-Shirts"
"01.0202","Sports, Sweats, trousers/skirts/dresses"
"01.0275","T-Shirts"
"01.0300","T-Shirts"
"01.0301","T-Shirts"
"01.0350","T-Shirts"
"01.0409","Polos"
"01.0413","Polos"
"01.0414","Polos"
"01.0415","Polos"
"01.0422","Polos"
"01.0423","Polos"
"01.0430","Polos"
"01.0440","Polos"
"01.0455","Polos"
"01.0456","Polos"
"01.0460","Polos"
"01.0486","Polos"
"01.0520","Shirts"
"01.0580","Shirts"
"01.0600","Sweats"
"01.0610","Sweats"
"01.0620","Sweats"
"01.0641","Sweats"
"01.0642","Sweats"
"01.0645","Sweats"
"01.0646","Sweats"
"01.0647","Sweats"
"01.0680","Sweats"
"01.0681","Sweats"
"01.0682","Sweats"
"01.0703","Fleece"
"01.0704","Fleece"
"01.0705","Fleece"
"01.0717","Fleece"
"01.0749","Fleece"
"01.0752","Fleece"
"01.0800","Jackets"
"01.0801","Jackets"
"01.0802","Jackets"
"01.0822","Jackets"
"01.0824","Jackets"
"01.0872","Jackets"
"01.0880","Jackets"
"01.0902","Jackets"
"01.0910","Jackets"
"01.0925","Jackets"
"01.0930","Jackets"
"01.0935","Jackets"
"01.0937","Jackets"
"01.0938","Jackets"
"01.0939","Jackets"
"01.0948","Jackets"
"01.0949","Jackets"
"01.0950","Jackets"
"01.0951","Jackets"
"01.0969","Jackets"
"01.0970","Jackets"
"01.0B01","T-Shirts"
"01.0C01","T-Shirts, Workwear & Safety"
"01.0C10","Polos, Workwear & Safety"
"01.0C11","Polos, Workwear & Safety"
"01.0C12","Polos, Workwear & Safety"
"01.0C20","Sweats, Workwear & Safety"
"01.0C40","Jackets, Workwear & Safety"
"01.0C50","trousers/skirts/dresses, Workwear & Safety"
"01.0C51","trousers/skirts/dresses, Workwear & Safety"
"01.0I12","Polos"
"01.0I13","Polos"
"01.0L09","Shirts"
"01.0P21","Shirts"
"01.0P22","Shirts"
"01.0P23","Shirts"
"01.0P24","Shirts"
"01.0P41","Shirts"
"01.0P42","Shirts"
"01.0P43","Shirts"
"01.0P44","Shirts"
"01.0P61","Shirts"
"01.0P62","Shirts"
"01.0P63","Shirts"
"01.0P64","Shirts"
"01.0T81","Shirts"
"01.0T82","Shirts"
"01.0T83","Shirts"
"01.0T84","Shirts"
"01.1489","Jackets"
"01.1950","Jackets"
"01.2083","Sweats"
"01.2183","Sweats"
"01.2275","Sweats"
"01.2375","Sweats"
"01.3093","Polos"
"01.3193","Polos"
"01.7085","T-Shirts"
"01.7185","T-Shirts"
"01.7392","T-Shirts"
"01.8589","Shirts"
"01.8689","Shirts"
"01.I202","Sweats"
"01.I203","Sweats"
"01.I205","Sweats"
"01.ID01","Polos"
"01.ID02","Sweats"
"01.ID03","Sweats"
"01.ID04","Sweats"
"01.ID10","Polos"
"01.J873","Jackets"
"01.TM42","T-Shirts"
"01.TM44","T-Shirts"
"01.TM46","T-Shirts"
"01.TM55","T-Shirts"
"01.TM70","T-Shirts"
"01.TM72","T-Shirts"
"01.TW43","T-Shirts"
"01.TW45","T-Shirts"
"01.TW47","T-Shirts"
"01.TW56","T-Shirts"
"01.TW71","T-Shirts"
"01.TW73","T-Shirts"
"01.U01B","T-Shirts"
"01.U01K","Sweats"
"01.U01W","Sweats"
"01.U02K","Sweats"
"01.U03K","Sweats"
"01.U03W","Sweats"
"01.U31B","Sweats"
"01.U33B","Sweats"
"01.U35B","Sweats"
"01.U424","Polos"
"01.U425","Polos"
"01.U426","Polos"
"01.U427","Polos"
"01.U428","Polos"
"01.UC41","Jackets, Workwear & Safety"
"01.W01Q","Sweats"
"01.W02B","T-Shirts"
"01.W02Q","Sweats"
"01.W02W","Sweats"
"01.W03Q","Sweats"
"01.W04W","Sweats"
"01.W32B","Sweats"
"01.W34B","Sweats"
"01.W36B","Sweats"
"01.W457","Polos"
"01.W461","Polos"
"01.W462","Polos"
"01.W463","Polos"
"01.W464","Polos"
"01.W465","Polos"
"01.XF01","Shirts"
"01.XF02","Shirts"
"01.XF03","Shirts"
"01.XF04","Shirts"
"01.ZF01","Sales Support"
"02.0001","T-Shirts"
"02.0002","T-Shirts"
"02.0003","T-Shirts"
"02.0004","T-Shirts"
"02.0010","T-Shirts"
"02.0019","T-Shirts"
"02.0020","Polos"
"02.0021","Polos"
"02.0022","Polos"
"02.0023","Sports, T-Shirts"
"02.0024","Polos, Sports"
"02.0025","Polos, Workwear & Safety"
"02.0026","Polos"
"02.0029","Polos"
"02.0034","Polos"
"02.0035","Sports, Sweats, trousers/skirts/dresses"
"02.0036","Sports, Sweats, trousers/skirts/dresses"
"02.0040","Sweats"
"02.0041","Sweats"
"02.0042","Sweats"
"02.0043","Fleece"
"02.0044","Fleece"
"02.0045","Fleece"
"02.0046","Sweats"
"02.0047","Sweats"
"02.0048","Fleece"
"02.0049","Fleece"
"02.0051","Sweats"
"02.0052","Sweats"
"02.0053","Sweats"
"02.0054","T-Shirts"
"02.0055","T-Shirts"
"02.0056","T-Shirts"
"02.0057","Sweats"
"02.0058","Sweats"
"02.0059","Sweats"
"02.0070","Polos"
"02.0071","Polos"
"02.0135","Jackets"
"02.0136","Jackets"
"02.0137","Jackets"
"02.0138","Jackets"
"02.0180","Polos"
"02.0183","T-Shirts"
"02.0193","Shirts"
"02.0199","Sweats"
"02.0200","Jackets, Workwear & Safety"
"02.0206","Sports, Underwear"
"02.0207","Business, Underwear"
"02.0208","Sports, Underwear"
"02.0209","Sports, Underwear"
"02.0210","Sports, Underwear"
"02.0211","Sports, Underwear"
"02.0212","Underwear, Workwear & Safety"
"02.0213","Underwear, Workwear & Safety"
"02.0214","Sports, Underwear"
"02.0215","Sports, Underwear"
"02.0302","Sports, trousers/skirts/dresses"
"02.0305","Sports, T-Shirts"
"02.0306","Sports, T-Shirts"
"02.0312","Sports, trousers/skirts/dresses"
"02.0315","Sports, T-Shirts"
"02.0316","Sports, T-Shirts"
"02.0322","Sports, trousers/skirts/dresses"
"02.0335","Accessories, Sports"
"02.0336","Accessories, Sports"
"02.0342","Accessories, Sports, Underwear"
"02.0352","Sweats"
"02.0354","Sweats"
"02.0355","Sweats"
"02.0356","Polos"
"02.0357","Sports, T-Shirts"
"02.0358","Sports, T-Shirts"
"02.036K","Sports, Sweats, trousers/skirts/dresses"
"02.0372","Sports"
"02.0386","Sports, T-Shirts"
"02.0387","Sports, trousers/skirts/dresses"
"02.0390","Sports, T-Shirts"
"02.0391","Sports, T-Shirts"
"02.0396","Sports, T-Shirts"
"02.0397","Sports, T-Shirts"
